edit_index,doc_name,node_ix_src,node_ix_tgt,text_src,text_tgt,a,b,c,gold,node_type_src,node_type_tgt,parent_node_src,parent_node_tgt,s_index
536,200-ARR,"200-ARR_v2_16@1==0,14","200-ARR_v1_15@9==0,13",In contrast to,Contrarily to,"Modify,Clarity","Modify,Clarity","Modify,Clarity","Modify,Clarity",ss,ss,200-ARR_v2_16@1,200-ARR_v1_15@9,2229
537,200-ARR,"200-ARR_v2_16@1==15,31","200-ARR_v1_15@9==14,28",previous studies,previous works,"Modify,Clarity","Modify,Clarity","Modify,Clarity","Modify,Clarity",ss,ss,200-ARR_v2_16@1,200-ARR_v1_15@9,2229
538,200-ARR,"200-ARR_v2_16@1==117,126","200-ARR_v1_15@9==113,120",relied on,rely on,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,200-ARR_v2_16@1,200-ARR_v1_15@9,2229
539,200-ARR,"200-ARR_v2_16@1==160,195","200-ARR_v1_15@9==154,186",providing an excellent test bed for,making them a great test bed for,"Modify,Clarity","Modify,Clarity","Modify,Clarity","Modify,Clarity",ss,ss,200-ARR_v2_16@1,200-ARR_v1_15@9,2229
540,200-ARR,"200-ARR_v2_16@1==206,219","200-ARR_v1_15@9==197,216",semantic bias,disambiguation bias,"Modify,Clarity","Modify,Fact/Evidence","Modify,Fact/Evidence","Modify,Fact/Evidence",ss,ss,200-ARR_v2_16@1,200-ARR_v1_15@9,2229
541,200-ARR,"200-ARR_v2_18@0==8,27","200-ARR_v1_16@0==8,18",all the effort made,the effort,"Modify,Clarity","Modify,Clarity","Modify,Clarity","Modify,Clarity",ss,ss,200-ARR_v2_18@0,200-ARR_v1_16@0,2230
542,200-ARR,"200-ARR_v2_18@0==165,191","200-ARR_v1_16@0==156,177",,,"Modify,Fact/Evidence","Modify,Fact/Evidence","Modify,Fact/Evidence","Modify,Fact/Evidence",ss,ss,200-ARR_v2_18@0,200-ARR_v1_16@0,2230
543,200-ARR,"200-ARR_v2_18@0==257,270","200-ARR_v1_16@0==243,255",none of these,none of them,"Modify,Clarity","Modify,Grammar","Modify,Clarity","Modify,Clarity",ss,ss,200-ARR_v2_18@0,200-ARR_v1_16@0,2230
544,200-ARR,"200-ARR_v2_18@0==271,273","200-ARR_v1_16@0==256,259",is,are,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,200-ARR_v2_18@0,200-ARR_v1_16@0,2230
545,200-ARR,"200-ARR_v2_29@1==78,130","200-ARR_v1_27@1==78,102",apply Part-of-Speech tagging and lemmatization to it,lemmatize and POS-tag it,"Modify,Clarity","Modify,Clarity","Modify,Clarity","Modify,Clarity",ss,ss,200-ARR_v2_29@1,200-ARR_v1_27@1,2172
546,200-ARR,"200-ARR_v2_29@1==167,174","200-ARR_v1_27@1==140,145",", which",which,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,200-ARR_v2_29@1,200-ARR_v1_27@1,2172
547,200-ARR,"200-ARR_v2_18@1==155,159","200-ARR_v1_16@1==155,164",were,have been,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,200-ARR_v2_18@1,200-ARR_v1_16@1,2231
548,200-ARR,"200-ARR_v2_18@1==219,237","200-ARR_v1_16@1==224,242",have recently been,have been recently,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,200-ARR_v2_18@1,200-ARR_v1_16@1,2231
549,200-ARR,"200-ARR_v2_19@0==23,39","200-ARR_v1_17@0==23,37",,,"Modify,Clarity","Modify,Clarity","Modify,Clarity","Modify,Clarity",ss,ss,200-ARR_v2_19@0,200-ARR_v1_17@0,2232
550,200-ARR,"200-ARR_v2_29@3==70,74","200-ARR_v1_27@3==71,77",; we,and we,"Modify,Clarity","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,200-ARR_v2_29@3,200-ARR_v1_27@3,2173
551,200-ARR,"200-ARR_v2_34@0==19,34","200-ARR_v1_30@0==19,27",the same synset,a synset,"Modify,Fact/Evidence","Modify,Clarity","Modify,Clarity","Modify,Clarity",ss,ss,200-ARR_v2_34@0,200-ARR_v1_30@0,2174
552,200-ARR,"200-ARR_v2_38@1==75,82","200-ARR_v1_34@1==76,81",", while",while,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,200-ARR_v2_38@1,200-ARR_v1_34@1,2175
553,200-ARR,"200-ARR_v2_2@0==7,14","200-ARR_v1_2@0==7,12",studies,works,"Modify,Clarity","Modify,Clarity","Modify,Clarity","Modify,Clarity",ss,ss,200-ARR_v2_2@0,200-ARR_v1_2@0,2176
554,200-ARR,"200-ARR_v2_2@0==100,113","200-ARR_v1_2@0==98,106",stemming from,lying in,"Modify,Clarity","Modify,Clarity","Modify,Clarity","Modify,Clarity",ss,ss,200-ARR_v2_2@0,200-ARR_v1_2@0,2176
555,200-ARR,"200-ARR_v2_2@0==215,221","200-ARR_v1_2@0==208,213",senses,sense,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,200-ARR_v2_2@0,200-ARR_v1_2@0,2176
556,200-ARR,"200-ARR_v2_4@3==46,53","200-ARR_v1_4@3==46,54",devoted,invested,"Modify,Clarity","Modify,Clarity","Modify,Clarity","Modify,Clarity",ss,ss,200-ARR_v2_4@3,200-ARR_v1_4@3,2177
557,200-ARR,"200-ARR_v2_4@3==95,121","200-ARR_v1_4@3==108,129","Rios Gonzales et al., 2017","Gonzales et al., 2017","Modify,Fact/Evidence","Modify,Fact/Evidence","Modify,Fact/Evidence","Modify,Fact/Evidence",ss,ss,200-ARR_v2_4@3,200-ARR_v1_4@3,2177
558,21-ARR,"21-ARR_v2_12@6==13,69","21-ARR_v1_12@6==13,70","meta pseudo labels (Pham et al., 2020) use meta learning","meta pseudo labels (Pham et al., 2020) uses meta learning","Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,21-ARR_v2_12@6,21-ARR_v1_12@6,2398
559,21-ARR,"21-ARR_v2_11@0==76,137","21-ARR_v1_11@0==76,99","large neural networks (Xu et al., , 2021bXu & McAuley, 2022).",large neural networks .,"Modify,Grammar","Modify,Fact/Evidence","Modify,Fact/Evidence","Modify,Fact/Evidence",ss,ss,21-ARR_v2_11@0,21-ARR_v1_11@0,2395
560,21-ARR,"21-ARR_v2_12@10==95,116","21-ARR_v1_12@10==95,115",this kind of problems,this kind of problem,"Modify,Grammar","Modify,Grammar","Modify,Clarity","Modify,Grammar",ss,ss,21-ARR_v2_12@10,21-ARR_v1_12@10,2399
561,21-ARR,"21-ARR_v2_13@3==55,83","21-ARR_v1_13@3==55,81",which utilizes meta-learning,and utilizes meta-learning,"Modify,Clarity","Modify,Clarity","Modify,Clarity","Modify,Clarity",ss,ss,21-ARR_v2_13@3,21-ARR_v1_13@3,2400
562,21-ARR,"21-ARR_v2_13@3==111,122","21-ARR_v1_13@3==108,127",as a fusion,", which is a fusion","Modify,Clarity","Modify,Clarity","Modify,Clarity","Modify,Clarity",ss,ss,21-ARR_v2_13@3,21-ARR_v1_13@3,2400
563,21-ARR,"21-ARR_v2_20@2==108,136","21-ARR_v1_20@2==108,130",the mean squared error (MSE),the mean squared error,"Modify,Clarity","Modify,Clarity","Modify,Clarity","Modify,Clarity",ss,ss,21-ARR_v2_20@2,21-ARR_v1_20@2,2401
564,21-ARR,"21-ARR_v2_9@5==163,198","21-ARR_v1_9@5==163,177",the parameters of the teacher model,its parameters,"Modify,Clarity","Modify,Clarity","Modify,Claim","Modify,Clarity",ss,ss,21-ARR_v2_9@5,21-ARR_v1_9@5,2405
565,21-ARR,"21-ARR_v2_11@2==0,20","21-ARR_v1_11@2==0,20",Hinton et al. (2015b,Hinton et al. (2015),"Modify,Fact/Evidence","Modify,Fact/Evidence","Modify,Fact/Evidence","Modify,Fact/Evidence",ss,ss,21-ARR_v2_11@2,21-ARR_v1_11@2,2396
566,23-ARR,"23-ARR_v2_63@6==49,92",,on creating a parserfriendly table ontology,,"Add,Claim","Add,Fact/Evidence","Add,Claim","Add,Claim",ss,ss,23-ARR_v2_63@6,,2518
567,23-ARR,"23-ARR_v2_63@7==104,116",,"for example,",,"Add,Clarity","Add,Clarity","Add,Clarity","Add,Clarity",ss,ss,23-ARR_v2_63@7,,2519
568,23-ARR,"23-ARR_v2_43@3==82,129","23-ARR_v1_39@9==82,112",irrelevant columns are mistakenly left unpruned,irrelevant columns are left in,"Modify,Fact/Evidence","Modify,Fact/Evidence","Modify,Fact/Evidence","Modify,Fact/Evidence",ss,ss,23-ARR_v2_43@3,23-ARR_v1_39@9,2508
569,23-ARR,"23-ARR_v2_18@6==42,71","23-ARR_v1_17@6==42,74",SPIDER also uses a simplified,SPIDER uses a simplified setting,"Modify,Clarity","Modify,Clarity","Modify,Clarity","Modify,Clarity",ss,ss,23-ARR_v2_18@6,23-ARR_v1_17@6,2491
570,23-ARR,"23-ARR_v2_43@5==63,87","23-ARR_v1_39@11==63,77",in the resulting schemas,in the schemas,"Modify,Clarity","Modify,Fact/Evidence","Modify,Clarity","Modify,Clarity",ss,ss,23-ARR_v2_43@5,23-ARR_v1_39@11,2510
571,23-ARR,"23-ARR_v2_49@0==3,37","23-ARR_v1_44@1==3,33",repeat each experiment three times,repeat each experiment 3 times,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,23-ARR_v2_49@0,23-ARR_v1_44@1,2511
572,23-ARR,"23-ARR_v2_7@0==76,101","23-ARR_v1_5@1==76,110",that were not encountered,that were never encountered before,"Modify,Clarity","Modify,Clarity","Modify,Clarity","Modify,Clarity",ss,ss,23-ARR_v2_7@0,23-ARR_v1_5@1,2512
573,23-ARR,"23-ARR_v2_51@5==55,68","23-ARR_v1_47@2==55,69",accuracy gain,accuracy boost,"Modify,Clarity","Modify,Clarity","Modify,Clarity","Modify,Clarity",ss,ss,23-ARR_v2_51@5,23-ARR_v1_47@2,2513
574,23-ARR,"23-ARR_v2_7@2==0,13","23-ARR_v1_5@3==0,25",We argue that,This is mainly because of,"Modify,Other","Modify,Claim","Modify,Claim","Modify,Claim",ss,ss,23-ARR_v2_7@2,23-ARR_v1_5@3,2514
575,23-ARR,"23-ARR_v2_7@2==67,95","23-ARR_v1_5@3==79,99",are particularly challenging,that are challenging,"Modify,Other","Modify,Clarity","Modify,Clarity","Modify,Clarity",ss,ss,23-ARR_v2_7@2,23-ARR_v1_5@3,2514
576,23-ARR,"23-ARR_v2_63@3==173,181","23-ARR_v1_59@3==173,193",existing,arbitrary underlying,"Modify,Clarity","Modify,Fact/Evidence","Modify,Fact/Evidence","Modify,Fact/Evidence",ss,ss,23-ARR_v2_63@3,23-ARR_v1_59@3,2516
577,23-ARR,"23-ARR_v2_63@3==182,201","23-ARR_v1_59@3==194,213",text-to-SQL parsers,Text-to-SQL parsers,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,23-ARR_v2_63@3,23-ARR_v1_59@3,2516
578,23-ARR,"23-ARR_v2_2@1==178,198","23-ARR_v1_2@1==177,196",composite operations,composite operation,"Modify,Grammar","Modify,Grammar","Modify,Clarity","Modify,Grammar",ss,ss,23-ARR_v2_2@1,23-ARR_v1_2@1,2517
579,23-ARR,"23-ARR_v2_63@6==8,48","23-ARR_v1_59@4==8,126",this work could motivate future research,that this work puts attention on this important challenge and provides a reference point for future work to build upon,"Modify,Clarity","Modify,Claim","Modify,Claim","Modify,Claim",ss,ss,23-ARR_v2_63@6,23-ARR_v1_59@4,2518
580,23-ARR,"23-ARR_v2_63@7==0,11","23-ARR_v1_59@5==0,19",Future work,Possible directions,"Modify,Clarity","Modify,Clarity","Modify,Clarity","Modify,Clarity",ss,ss,23-ARR_v2_63@7,23-ARR_v1_59@5,2519
581,23-ARR,"23-ARR_v2_63@7==12,103","23-ARR_v1_59@5==20,75","could explore learning approaches that use models to automatically expand any table schema,",include making the schema expansion component learnable,"Modify,Clarity","Modify,Claim","Modify,Claim","Modify,Claim",ss,ss,23-ARR_v2_63@7,23-ARR_v1_59@5,2519
582,23-ARR,"23-ARR_v2_63@7==117,182","23-ARR_v1_59@5==76,106",by showing appropriate prompts to ask pre-trained language models,or prompting models like GPT-3,"Modify,Clarity","Modify,Claim","Modify,Clarity","Modify,Clarity",ss,ss,23-ARR_v2_63@7,23-ARR_v1_59@5,2519
583,23-ARR,"23-ARR_v2_63@7==196,237","23-ARR_v1_59@5==107,127","(Brown et al., 2020;Petroni et al., 2019)","(Brown et al., 2020)","Modify,Fact/Evidence","Modify,Fact/Evidence","Modify,Fact/Evidence","Modify,Fact/Evidence",ss,ss,23-ARR_v2_63@7,23-ARR_v1_59@5,2519
584,23-ARR,"23-ARR_v2_63@7==183,195","23-ARR_v1_59@5==128,141",to tackle it,to address it,"Modify,Clarity","Modify,Clarity","Modify,Clarity","Modify,Clarity",ss,ss,23-ARR_v2_63@7,23-ARR_v1_59@5,2519
585,23-ARR,"23-ARR_v2_13@1==25,56","23-ARR_v1_11@1==25,56",makes this method applicable to,enables this method to apply to,"Modify,Clarity","Modify,Clarity","Modify,Clarity","Modify,Clarity",ss,ss,23-ARR_v2_13@1,23-ARR_v1_11@1,2523
586,23-ARR,"23-ARR_v2_18@8==0,11","23-ARR_v1_17@8==0,4",Furthermore,Also,"Modify,Clarity","Modify,Clarity","Modify,Clarity","Modify,Clarity",ss,ss,23-ARR_v2_18@8,23-ARR_v1_17@8,2492
587,23-ARR,"23-ARR_v2_17@7==0,16","23-ARR_v1_16@7==0,25",To be applicable,"However, to be applicable","Modify,Other","Modify,Clarity","Modify,Clarity","Modify,Clarity",ss,ss,23-ARR_v2_17@7,23-ARR_v1_16@7,2489
588,23-ARR,"23-ARR_v2_17@7==53,65","23-ARR_v1_16@7==62,76",must be able,should be able,"Modify,Other","Modify,Other","Modify,Other","Modify,Other",ss,ss,23-ARR_v2_17@7,23-ARR_v1_16@7,2489
589,23-ARR,"23-ARR_v2_18@21==183,197","23-ARR_v1_17@21==183,198",the leaf nodes,the leave nodes,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,23-ARR_v2_18@21,23-ARR_v1_17@21,2494
590,23-ARR,"23-ARR_v2_20@0==141,186","23-ARR_v1_19@0==141,186",a different set of domains from the test data,a different set of domains than the test data,"Modify,Grammar","Modify,Grammar","Modify,Clarity","Modify,Grammar",ss,ss,23-ARR_v2_20@0,23-ARR_v1_19@0,2495
591,23-ARR,"23-ARR_v2_20@0==399,486","23-ARR_v1_19@0==399,483",to simulate the more challenging setting that is often encountered in real applications,To simulate the more challenging setting that often encountered in real applications,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,23-ARR_v2_20@0,23-ARR_v1_19@0,2495
592,23-ARR,"23-ARR_v2_20@0==617,621","23-ARR_v1_19@0==614,618",Term,term,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,23-ARR_v2_20@0,23-ARR_v1_19@0,2495
593,23-ARR,"23-ARR_v2_20@0==709,713","23-ARR_v1_19@0==706,710",,,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,23-ARR_v2_20@0,23-ARR_v1_19@0,2495
594,23-ARR,"23-ARR_v2_23@3==0,14","23-ARR_v1_22@3==0,13",We also define,And we define,"Modify,Clarity","Modify,Clarity","Modify,Clarity","Modify,Clarity",ss,ss,23-ARR_v2_23@3,23-ARR_v1_22@3,2497
595,23-ARR,"23-ARR_v2_23@3==15,35","23-ARR_v1_22@3==14,36",a SQL query template,the SQL query template,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,23-ARR_v2_23@3,23-ARR_v1_22@3,2497
596,23-ARR,"23-ARR_v2_23@5==3,22","23-ARR_v1_22@5==3,29",We sample a formula,"We first sample a formula,","Modify,Clarity","Modify,Clarity","Modify,Clarity","Modify,Clarity",ss,ss,23-ARR_v2_23@5,23-ARR_v1_22@5,2498
597,23-ARR,"23-ARR_v2_23@5==57,114","23-ARR_v1_22@5==64,128","e.g., ""Income"" from formula ""Income"" = ""Salary"" + ""Stock""","e.g., sample ""Income"" from formula ""Income"" = ""Salary"" + ""Stock""","Modify,Clarity","Modify,Clarity","Modify,Clarity","Modify,Clarity",ss,ss,23-ARR_v2_23@5,23-ARR_v1_22@5,2498
598,23-ARR,"23-ARR_v2_33@6==60,86","23-ARR_v1_32@9==60,85",it is reasonable to assume,it's reasonable to assume,"Modify,Grammar","Modify,Clarity","Modify,Clarity","Modify,Clarity",ss,ss,23-ARR_v2_33@6,23-ARR_v1_32@9,2505
599,23-ARR,"23-ARR_v2_34@2==43,71","23-ARR_v1_33@2==43,72",component that looks at both,component which looks at both,"Modify,Other","Modify,Clarity","Modify,Fact/Evidence","Modify,Other",ss,ss,23-ARR_v2_34@2,23-ARR_v1_33@2,2506
600,23-ARR,"23-ARR_v2_36@3==196,213","23-ARR_v1_35@3==196,218",a simple approach,a very simple approach,"Modify,Other","Modify,Clarity","Modify,Clarity","Modify,Clarity",ss,ss,23-ARR_v2_36@3,23-ARR_v1_35@3,2507
601,23-ARR,"23-ARR_v2_36@3==214,240","23-ARR_v1_35@3==219,250",with minimal manual effort,requiring minimal manual effort,"Modify,Clarity","Modify,Clarity","Modify,Clarity","Modify,Clarity",ss,ss,23-ARR_v2_36@3,23-ARR_v1_35@3,2507
602,23-ARR,"23-ARR_v2_36@3==255,272","23-ARR_v1_35@3==265,283",significant gains,significant boosts,"Modify,Clarity","Modify,Clarity","Modify,Clarity","Modify,Clarity",ss,ss,23-ARR_v2_36@3,23-ARR_v1_35@3,2507
603,282-ARR,"282-ARR_v2_23@2==9,61",,"since we mainly focus on the word alignment dataset,",,"Add,Fact/Evidence","Add,Claim","Add,Claim","Add,Claim",ss,ss,282-ARR_v2_23@2,,2924
604,282-ARR,"282-ARR_v2_23@3==0,56",,"In order to use the supervised signal of word alignment,",,"Add,Fact/Evidence","Add,Claim","Add,Claim","Add,Claim",ss,ss,282-ARR_v2_23@3,,2925
605,282-ARR,,"282-ARR_v1_45@1==226,262",,"(Nikolentzos and Vazirgiannis, 2020)","Delete,Fact/Evidence","Delete,Fact/Evidence","Delete,Fact/Evidence","Delete,Fact/Evidence",ss,ss,,282-ARR_v1_45@1,2931
606,282-ARR,"282-ARR_v2_79@3==230,269",,which is prevalent in the graph network,,"Add,Claim","Add,Claim","Add,Fact/Evidence","Add,Claim",ss,ss,282-ARR_v2_79@3,,2938
607,282-ARR,"282-ARR_v2_15@1==165,187",,"(Vaswani et al., 2017)",,"Add,Fact/Evidence","Add,Fact/Evidence","Add,Fact/Evidence","Add,Fact/Evidence",ss,ss,282-ARR_v2_15@1,,2943
608,282-ARR,"282-ARR_v2_2@3==14,100",,"we won't leverage any annotated syntactic graph of the target side during training, so",,"Add,Fact/Evidence","Add,Claim","Add,Claim","Add,Claim",ss,ss,282-ARR_v2_2@3,,2948
609,282-ARR,,"282-ARR_v1_46@1==127,163",,,"Delete,Fact/Evidence","Delete,Fact/Evidence","Delete,Fact/Evidence","Delete,Fact/Evidence",ss,ss,,282-ARR_v1_46@1,2932
610,282-ARR,,"282-ARR_v1_63@2==174,236",,and having more potential to become a universal alignment tool,"Delete,Claim","Delete,Claim","Delete,Claim","Delete,Claim",ss,ss,,282-ARR_v1_63@2,2937
611,282-ARR,"282-ARR_v2_2@2==14,24","282-ARR_v1_2@2==14,53",we propose,"to our best knowledge, we first propose","Modify,Claim","Modify,Clarity","Modify,Claim","Modify,Claim",ss,ss,282-ARR_v2_2@2,282-ARR_v1_2@2,2940
612,282-ARR,"282-ARR_v2_9@0==112,129","282-ARR_v1_8@0==112,120",and further guide,to guide,"Modify,Clarity","Modify,Clarity","Modify,Clarity","Modify,Clarity",ss,ss,282-ARR_v2_9@0,282-ARR_v1_8@0,2941
613,282-ARR,"282-ARR_v2_10@0==147,161","282-ARR_v1_8@2==148,161",out-performing,outperforming,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,282-ARR_v2_10@0,282-ARR_v1_8@2,2942
614,282-ARR,"282-ARR_v2_29@2==0,11","282-ARR_v1_24@2==0,10","Afterwards,","Therefore,","Modify,Clarity","Modify,Clarity","Modify,Clarity","Modify,Clarity",ss,ss,282-ARR_v2_29@2,282-ARR_v1_24@2,2926
615,282-ARR,"282-ARR_v2_29@2==47,50","282-ARR_v1_24@2==46,48",are,is,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,282-ARR_v2_29@2,282-ARR_v1_24@2,2926
616,282-ARR,"282-ARR_v2_17@1==48,77","282-ARR_v1_15@1==48,73",the encoder-decoder structure,encoder-decoder structure,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,282-ARR_v2_17@1,282-ARR_v1_15@1,2945
617,282-ARR,"282-ARR_v2_2@3==185,216","282-ARR_v1_2@3==98,110",sequentially and simultaneously,sequentially,"Modify,Fact/Evidence","Modify,Claim","Modify,Clarity","Modify,Fact/Evidence",ss,ss,282-ARR_v2_2@3,282-ARR_v1_2@3,2948
618,282-ARR,"282-ARR_v2_2@3==226,282","282-ARR_v1_2@3==120,157",the target tokens and the corresponding syntactic graphs,the syntactic graphs of target tokens,"Modify,Fact/Evidence","Modify,Clarity","Modify,Clarity","Modify,Clarity",ss,ss,282-ARR_v2_2@3,282-ARR_v1_2@3,2948
619,282-ARR,"282-ARR_v2_48@0==90,101","282-ARR_v1_43@0==90,105",source side,the source side,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,282-ARR_v2_48@0,282-ARR_v1_43@0,2929
620,282-ARR,"282-ARR_v2_48@1==122,165","282-ARR_v1_43@1==122,157",the loss calculation of word alignment task,the word alignment loss calculation,"Modify,Clarity","Modify,Clarity","Modify,Clarity","Modify,Clarity",ss,ss,282-ARR_v2_48@1,282-ARR_v1_43@1,2930
621,282-ARR,"282-ARR_v2_23@2==85,96","282-ARR_v1_20@2==32,44",groundtruth,ground-truth,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,282-ARR_v2_23@2,282-ARR_v1_20@2,2924
622,282-ARR,"282-ARR_v2_53@3==0,15","282-ARR_v1_46@6==0,10",We then perform,We perform,"Modify,Clarity","Modify,Clarity","Modify,Clarity","Modify,Clarity",ss,ss,282-ARR_v2_53@3,282-ARR_v1_46@6,2933
623,282-ARR,"282-ARR_v2_62@0==151,178","282-ARR_v1_54@0==151,180",guiding translation outputs,producing translation results,"Modify,Clarity","Modify,Clarity","Modify,Clarity","Modify,Clarity",ss,ss,282-ARR_v2_62@0,282-ARR_v1_54@0,2934
624,282-ARR,"282-ARR_v2_68@1==21,32","282-ARR_v1_59@1==21,28",the decoder,decoder,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,282-ARR_v2_68@1,282-ARR_v1_59@1,2935
625,282-ARR,"282-ARR_v2_68@1==36,47","282-ARR_v1_59@1==32,47",Transformer,the transformer,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,282-ARR_v2_68@1,282-ARR_v1_59@1,2935
626,282-ARR,"282-ARR_v2_68@5==85,97","282-ARR_v1_59@5==85,96",convolutions,convolution,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,282-ARR_v2_68@5,282-ARR_v1_59@5,2936
627,282-ARR,"282-ARR_v2_23@3==57,59","282-ARR_v1_20@3==0,2",we,We,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,282-ARR_v2_23@3,282-ARR_v1_20@3,2925
628,282-ARR,"282-ARR_v2_63@2==16,47","282-ARR_v1_68@5==16,28",case studies of the experiments,case studies,"Modify,Clarity","Modify,Clarity","Modify,Clarity","Modify,Clarity",ss,ss,282-ARR_v2_63@2,282-ARR_v1_68@5,2939
629,282-ARR,"282-ARR_v2_63@2==48,59","282-ARR_v1_68@5==29,44",in Figure 5,in the Appendix,"Modify,Fact/Evidence","Modify,Fact/Evidence","Modify,Fact/Evidence","Modify,Fact/Evidence",ss,ss,282-ARR_v2_63@2,282-ARR_v1_68@5,2939
630,282-ARR,"282-ARR_v2_63@2==244,273","282-ARR_v1_68@5==229,262",guide the translation outputs,produce high-quality translations,"Modify,Fact/Evidence","Modify,Clarity","Modify,Clarity","Modify,Clarity",ss,ss,282-ARR_v2_63@2,282-ARR_v1_68@5,2939
631,3-ARR,"3-ARR_v2_16@2==0,19",,"In a DocRE dataset,",,"Add,Clarity","Add,Clarity","Add,Clarity","Add,Clarity",ss,ss,3-ARR_v2_16@2,,3079
632,3-ARR,"3-ARR_v2_27@4==35,73","3-ARR_v1_27@4==35,69",our approach that encourages the model,our approach encouraging the model,"Modify,Clarity","Modify,Clarity","Modify,Clarity","Modify,Clarity",ss,ss,3-ARR_v2_27@4,3-ARR_v1_27@4,3080
633,3-ARR,"3-ARR_v2_68@1==23,29","3-ARR_v1_65@1==23,45",slower,computationally slower,"Modify,Fact/Evidence","Modify,Fact/Evidence","Modify,Fact/Evidence","Modify,Fact/Evidence",ss,ss,3-ARR_v2_68@1,3-ARR_v1_65@1,3057
634,3-ARR,"3-ARR_v2_84@0==98,129","3-ARR_v1_81@0==99,130",", 17 of which are interpersonal",(17 of which are interpersonal),"Modify,Clarity","Modify,Clarity","Modify,Clarity","Modify,Clarity",ss,ss,3-ARR_v2_84@0,3-ARR_v1_81@0,3059
635,3-ARR,"3-ARR_v2_84@1==12,59","3-ARR_v1_81@1==12,57",the standard split with 1073 training dialogues,the standard split of 1073 training dialogues,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,3-ARR_v2_84@1,3-ARR_v1_81@1,3060
636,3-ARR,"3-ARR_v2_89@0==7,23","3-ARR_v1_87@0==7,21",the repositories,the repository,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,3-ARR_v2_89@0,3-ARR_v1_87@0,3067
637,3-ARR,"3-ARR_v2_5@5==27,32","3-ARR_v1_5@2==27,32","{1,2}","[1,2]","Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,3-ARR_v2_5@5,3-ARR_v1_5@2,3070
638,3-ARR,"3-ARR_v2_5@5==104,109","3-ARR_v1_5@2==104,109",,,"Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,3-ARR_v2_5@5,3-ARR_v1_5@2,3070
639,3-ARR,"3-ARR_v2_4@2==51,105","3-ARR_v1_4@2==51,121","Zeng et al., 2014;Xiao and Liu, 2016;Song et al., 2019","Zeng et al., 2014;Xiao and Liu, 2016;Yu et al., 2017;Song et al., 2019","Modify,Fact/Evidence","Modify,Fact/Evidence","Modify,Fact/Evidence","Modify,Fact/Evidence",ss,ss,3-ARR_v2_4@2,3-ARR_v1_4@2,3056
640,3-ARR,"3-ARR_v2_99@1==191,211","3-ARR_v1_99@1==191,205",the interpretability,the robustness,"Modify,Claim","Modify,Claim","Modify,Claim","Modify,Claim",ss,ss,3-ARR_v2_99@1,3-ARR_v1_99@1,3071
641,3-ARR,"3-ARR_v2_103@1==118,129","3-ARR_v1_103@3==118,132",Section 4.3,in Section 4.3,"Modify,Clarity","Modify,Grammar","Modify,Clarity","Modify,Clarity",ss,ss,3-ARR_v2_103@1,3-ARR_v1_103@3,3072
642,3-ARR,"3-ARR_v2_5@6==127,134","3-ARR_v1_5@3==127,134","{1,2,3}","[1,2,3]","Modify,Grammar","Modify,Grammar","Modify,Grammar","Modify,Grammar",ss,ss,3-ARR_v2_5@6,3-ARR_v1_5@3,3073
