edit_index,doc_name,node_ix_src,node_ix_tgt,gold,s_index,node_type_src,node_type_tgt,sec_node_src,sec_node_tgt,sec_id_src,sec_id_tgt,sec_title_src,sec_title_tgt
1291,2-131,2-131_v2_66,,"Add,Claim;Add,Claim",6186;6187,p,,"2-131_v2_57,title",,10,,Discussion,
1292,2-131,2-131_v2_66,2-131_v1_59,"Modify,Fact/Evidence;Modify,Clarity;Modify,Clarity",6240;6241;6242,p,p,"2-131_v2_57,title","2-131_v1_52,title",10,5,Discussion,Discussion
1293,2-131,2-131_v2_67,2-131_v1_60,"Modify,Clarity",6243,p,p,"2-131_v2_57,title","2-131_v1_52,title",10,5,Discussion,Discussion
1294,2-131,2-131_v2_7,2-131_v1_3,"Modify,Clarity",6257,p,p,"2-131_v2_1,abstract","2-131_v1_1,abstract",,,Abstract,Abstract
1295,2-131,2-131_v2_8,2-131_v1_3,"Modify,Clarity",6259,p,p,"2-131_v2_1,abstract","2-131_v1_1,abstract",,,Abstract,Abstract
1296,2-131,2-131_v2_9,2-131_v1_4,"Modify,Clarity;Modify,Clarity",6195;6204,p,p,"2-131_v2_1,abstract","2-131_v1_1,abstract",,,Abstract,Abstract
1297,2-147,2-147_v2_11,,"Add,Fact/Evidence",6262,p,,"2-147_v2_10,title",,2.1,,Tissues,
1298,2-147,2-147_v2_11,2-147_v1_11,"Modify,Fact/Evidence;Modify,Fact/Evidence",6268;6269,p,p,"2-147_v2_10,title","2-147_v1_10,title",2.1,2.1,Tissues,Tissues
1299,2-147,2-147_v2_15,,"Add,Fact/Evidence;Add,Fact/Evidence",6263;6264,p,,"2-147_v2_14,title",,2.3,,Experimental design–monolayer cultures,
1300,2-147,2-147_v2_17,2-147_v1_17,"Modify,Grammar",6270,p,p,"2-147_v2_16,title","2-147_v1_16,title",2.4,2.4,Cytotoxicity assays–monolayer chondrocytes,Cytotoxicity assays–monolayer chondrocytes
1301,2-147,2-147_v2_26,2-147_v1_26,"Modify,Grammar",6265,p,p,"2-147_v2_25,title","2-147_v1_25,title",2.8,2.8,DMMB assays,DMMB assays
1302,2-147,2-147_v2_30,2-147_v1_30,"Modify,Grammar",6266,p,p,"2-147_v2_29,title","2-147_v1_29,title",2.10,2.10,Western blot analysis of MMP-3 release,Western blot analysis of MMP-3 release
1303,2-147,2-147_v2_66,2-147_v1_66,"Modify,Grammar",6267,p,p,"2-147_v2_55,title","2-147_v1_55,title",4,4,Discussion,Discussion
1304,2-155,2-155_v2_12,2-155_v1_12,"Modify,Grammar",6281,p,p,"2-155_v2_10,title","2-155_v1_10,title",2.2,2.2,Laboratory analyses,Laboratory analyses
1305,2-155,2-155_v2_19,,"Add,Fact/Evidence",6272,p,,"2-155_v2_18,title",,3,,Results,
1306,2-155,2-155_v2_2,2-155_v1_2,"Modify,Grammar",6280,p,p,"2-155_v2_1,abstract","2-155_v1_1,abstract",,,Abstract,Abstract
1307,2-155,2-155_v2_29,,"Add,Fact/Evidence;Add,Fact/Evidence",6273;6274,p,,"2-155_v2_28,title",,4,,Discussion,
1308,2-155,2-155_v2_29,2-155_v1_29,"Modify,Fact/Evidence;Modify,Clarity",6277;6278,p,p,"2-155_v2_28,title","2-155_v1_28,title",4,4,Discussion,Discussion
1309,2-155,2-155_v2_30,,"Add,Claim;Add,Claim",6275;6276,p,,"2-155_v2_28,title",,4,,Discussion,
1310,2-155,2-155_v2_35,2-155_v1_35,"Modify,Clarity",6279,p,p,"2-155_v2_28,title","2-155_v1_28,title",4,4,Discussion,Discussion
1311,2-155,2-155_v2_9,,"Add,Fact/Evidence",6271,p,,"2-155_v2_8,title",,2.1,,Sample collection,
1312,2-173,2-173_v2_16,2-173_v1_16,"Modify,Fact/Evidence",6287,p,p,"2-173_v2_15,title","2-173_v1_15,title",2.2,2.2,Cell culture,Cell culture
1313,2-173,2-173_v2_31,,"Add,Claim",6282,p,,"2-173_v2_30,title",,3.1,,Inhibition of [M1] formation prevented CYP3A5 mRNA induction by BDP in A549 cells,
1314,2-173,2-173_v2_62,2-173_v1_62,"Modify,Claim",6284,p,p,"2-173_v2_56,title","2-173_v1_56,title",4,4,Discussion,Discussion
1315,2-173,2-173_v2_63,,"Add,Claim",6283,p,,"2-173_v2_56,title",,4,,Discussion,
1316,2-173,2-173_v2_63,2-173_v1_63,"Modify,Claim;Modify,Claim",6285;6286,p,p,"2-173_v2_56,title","2-173_v1_56,title",4,4,Discussion,Discussion
1317,2-180,,2-180_v1_39,"Delete,Claim",6288,,p,,"2-180_v1_38,title",,4.1,,Long-term rTMS does not adversely affect learning in normal subjects
1318,2-180,,2-180_v1_41,"Delete,Fact/Evidence",6289,,p,,"2-180_v1_40,title",,4.2,,Long-term rTMS and hippocampal spine density
1319,2-180,2-180_v2_11,,"Add,Fact/Evidence",6292,p,,"2-180_v2_10,title",,2.1,,Animals,
1320,2-180,2-180_v2_11,2-180_v1_10,"Modify,Fact/Evidence;Modify,Grammar",6325;6326,p,p,"2-180_v2_10,title","2-180_v1_9,title",2.1,2.1,Animals,Animals
1321,2-180,2-180_v2_13,,"Add,Claim",6293,p,,"2-180_v2_12,title",,2.2,,Apparatus and procedure,
1322,2-180,2-180_v2_17,2-180_v1_16,"Modify,Fact/Evidence",6307,p,p,"2-180_v2_16,title","2-180_v1_15,title",2.4,2.4,rTMS application,rTMS application
1323,2-180,2-180_v2_18,2-180_v1_17,"Modify,Fact/Evidence;Modify,Fact/Evidence",6308;6309,p,p,"2-180_v2_16,title","2-180_v1_15,title",2.4,2.4,rTMS application,rTMS application
1324,2-180,2-180_v2_19,,"Add,Fact/Evidence;Add,Fact/Evidence;Add,Fact/Evidence",6294;6295;6296,p,,"2-180_v2_16,title",,2.4,,rTMS application,
1325,2-180,2-180_v2_19,2-180_v1_18,"Split+Modify,Clarity;Split+Modify,Clarity",6310;6311,p,p,"2-180_v2_16,title","2-180_v1_15,title",2.4,2.4,rTMS application,rTMS application
1326,2-180,2-180_v2_2,2-180_v1_2,"Modify,Fact/Evidence",6323,p,p,"2-180_v2_1,abstract","2-180_v1_1,abstract",,,Abstract,Abstract
1327,2-180,2-180_v2_38,2-180_v1_37,"Modify,Claim;Modify,Claim",6313;6314,p,p,"2-180_v2_37,title","2-180_v1_36,title",4,4,Discussion,Discussion
1328,2-180,2-180_v2_4,2-180_v1_4,"Modify,Claim",6312,p,p,"2-180_v2_3,title","2-180_v1_3,title",1,1,Introduction,Introduction
1329,2-180,2-180_v2_40,,"Add,Claim;Add,Claim",6297;6298,p,,"2-180_v2_39,title",,4.1,,Long-term rTMS does not adversely affect learning in normal subjects,
1330,2-180,2-180_v2_40,2-180_v1_39,"Modify,Fact/Evidence;Modify,Clarity",6315;6317,p,p,"2-180_v2_39,title","2-180_v1_38,title",4.1,4.1,Long-term rTMS does not adversely affect learning in normal subjects,Long-term rTMS does not adversely affect learning in normal subjects
1331,2-180,2-180_v2_42,2-180_v1_41,"Modify,Fact/Evidence;Modify,Claim",6318;6320,p,p,"2-180_v2_41,title","2-180_v1_40,title",4.2,4.2,Long-term rTMS and hippocampal spine density,Long-term rTMS and hippocampal spine density
1332,2-180,2-180_v2_42,2-180_v1_42,"Modify,Clarity",6321,p,p,"2-180_v2_41,title","2-180_v1_40,title",4.2,4.2,Long-term rTMS and hippocampal spine density,Long-term rTMS and hippocampal spine density
1333,2-180,2-180_v2_43,,"Add,Claim;Add,Claim;Add,Claim;Add,Claim",6299;6300;6301;6302,p,,"2-180_v2_41,title",,4.2,,Long-term rTMS and hippocampal spine density,
1334,2-180,2-180_v2_45,,"Add,Claim;Add,Claim;Add,Claim;Add,Claim",6303;6304;6305;6306,p,,"2-180_v2_41,title",,4.2,,Long-term rTMS and hippocampal spine density,
1335,2-180,2-180_v2_6,2-180_v1_6,"Modify,Fact/Evidence",6322,p,p,"2-180_v2_3,title","2-180_v1_3,title",1,1,Introduction,Introduction
1336,2-180,2-180_v2_8,,"Add,Fact/Evidence;Add,Fact/Evidence",6290;6291,p,,"2-180_v2_3,title",,1,,Introduction,
1337,2-180,2-180_v2_8,2-180_v1_41,"Modify,Clarity",6319,p,p,"2-180_v2_3,title","2-180_v1_40,title",1,4.2,Introduction,Long-term rTMS and hippocampal spine density
1338,2-180,2-180_v2_8,2-180_v1_7,"Modify,Clarity",6324,p,p,"2-180_v2_3,title","2-180_v1_3,title",1,1,Introduction,Introduction
1339,2-238,2-238_v2_2,2-238_v1_2,"Modify,Claim;Modify,Grammar",6347;6363,p,p,"2-238_v2_1,abstract","2-238_v1_1,abstract",,,Abstract,Abstract
1340,2-238,2-238_v2_22,2-238_v1_22,"Modify,Fact/Evidence;Modify,Fact/Evidence",6343;6344,p,p,"2-238_v2_21,title","2-238_v1_21,title",2.4,2.4,Hos2 deacetylase enzymatic assay,Hos2 deacetylase enzymatic assay
1341,2-238,2-238_v2_24,2-238_v1_24,"Modify,Grammar",6345,p,p,"2-238_v2_23,title","2-238_v1_23,title",2.5,2.5,Production of polyclonal anti sera against Hos2 protein,Production of polyclonal anti sera against Hos2 protein
1342,2-238,2-238_v2_30,2-238_v1_30,"Modify,Grammar",6346,p,p,"2-238_v2_29,title","2-238_v1_29,title",2.8,2.8,Isolation of histones from Candida sp .,Isolation of histones from Candida sp .
1343,2-238,2-238_v2_32,,"Add,Fact/Evidence",6327,p,,"2-238_v2_31,title",,2.9,,Deacetylation of nuclear histones,
1344,2-238,2-238_v2_32,2-238_v1_32,"Modify,Fact/Evidence",6348,p,p,"2-238_v2_31,title","2-238_v1_31,title",2.9,2.9,Deacetylation of nuclear histones,Deacetylation of nuclear histones
1345,2-238,2-238_v2_34,2-238_v1_34,"Modify,Fact/Evidence",6349,p,p,"2-238_v2_33,title","2-238_v1_33,title",2.10,2.10,Deacetylation of acetylated tubulin,Deacetylation of acetylated tubulin
1346,2-238,2-238_v2_38,2-238_v1_38,"Modify,Fact/Evidence;Modify,Fact/Evidence",6351;6352,p,p,"2-238_v2_37,title","2-238_v1_37,title",2.12,2.12,In vitro Sirt1 activation assay,In vitro Sirt1 activation assay
1347,2-238,2-238_v2_4,2-238_v1_4,"Modify,Fact/Evidence",6350,p,p,"2-238_v2_3,title","2-238_v1_3,title",1,1,Introduction,Introduction
1348,2-238,2-238_v2_40,,"Add,Fact/Evidence;Add,Fact/Evidence;Add,Fact/Evidence",6329;6330;6331,p,,"2-238_v2_39,title",,2.13,,Statistical analysis,
1349,2-238,2-238_v2_45,2-238_v1_43,"Modify,Grammar;Modify,Grammar",6353;6354,p,p,"2-238_v2_44,title","2-238_v1_42,title",3.2,3.2,Protein expression and purification,Protein expression and purification
1350,2-238,2-238_v2_49,2-238_v1_47,"Modify,Fact/Evidence",6355,p,p,"2-238_v2_48,title","2-238_v1_46,title",3.3,3.3,In vitro deacetylation assay using synthetic peptide substrate,In vitro deacetylation assay using synthetic peptide substrate
1351,2-238,2-238_v2_5,2-238_v1_5,"Modify,Grammar",6356,p,p,"2-238_v2_3,title","2-238_v1_3,title",1,1,Introduction,Introduction
1352,2-238,2-238_v2_68,,"Add,Claim;Add,Claim;Add,Claim",6332;6333;6334,p,,"2-238_v2_67,title",,4,,Discussion,
1353,2-238,2-238_v2_69,,"Add,Claim;Add,Claim",6335;6336,p,,"2-238_v2_67,title",,4,,Discussion,
1354,2-238,2-238_v2_69,2-238_v1_67,"Modify,Grammar",6357,p,p,"2-238_v2_67,title","2-238_v1_65,title",4,4,Discussion,Discussion
1355,2-238,2-238_v2_7,2-238_v1_7,"Modify,Grammar",6361,p,p,"2-238_v2_3,title","2-238_v1_3,title",1,1,Introduction,Introduction
1356,2-238,2-238_v2_74,2-238_v1_71,"Modify,Grammar",6358,p,p,"2-238_v2_67,title","2-238_v1_65,title",4,4,Discussion,Discussion
1357,2-238,2-238_v2_75,,"Add,Fact/Evidence;Add,Fact/Evidence;Add,Claim",6337;6338;6339,p,,"2-238_v2_67,title",,4,,Discussion,
1358,2-238,2-238_v2_75,2-238_v1_72,"Modify,Grammar",6359,p,p,"2-238_v2_67,title","2-238_v1_65,title",4,4,Discussion,Discussion
1359,2-238,2-238_v2_76,2-238_v1_73,"Modify,Fact/Evidence",6360,p,p,"2-238_v2_67,title","2-238_v1_65,title",4,4,Discussion,Discussion
1360,2-238,2-238_v2_79,,"Add,Fact/Evidence",6341,p,,"2-238_v2_78,title",,5,,Data availability,
1361,2-238,2-238_v2_80,,"Add,Fact/Evidence",6342,p,,"2-238_v2_78,title",,5,,Data availability,
1362,2-238,2-238_v2_9,2-238_v1_9,"Modify,Grammar",6362,p,p,"2-238_v2_3,title","2-238_v1_3,title",1,1,Introduction,Introduction
1363,2-242,2-242_v2_13,2-242_v1_13,"Modify,Clarity;Modify,Fact/Evidence;Split+Modify,Fact/Evidence;Split+Modify,Clarity;Modify,Fact/Evidence",6367;6368;6369;6370;6371,p,p,"2-242_v2_12,title","2-242_v1_12,title",2.1,2.1,Generation of the list of zebrafish heart jogging genes,Generation of the list of zebrafish heart jogging genes
1364,2-242,2-242_v2_54,2-242_v1_54,"Split+Modify,Clarity;Split+Modify,Clarity;Modify,Clarity",6364;6365;6366,p,p,"2-242_v2_50,title","2-242_v1_50,title",4,4,Discussion,Discussion
1365,2-259,,2-259_v1_9,"Delete,Fact/Evidence",6377,,p,,"2-259_v1_7,title",,2,,Case report
1366,2-259,2-259_v2_10,,"Add,Fact/Evidence",6374,p,,"2-259_v2_7,title",,2,,Case report,
1367,2-259,2-259_v2_10,2-259_v1_10,"Modify,Grammar;Modify,Fact/Evidence",6382;6383,p,p,"2-259_v2_7,title","2-259_v1_7,title",2,2,Case report,Case report
1368,2-259,2-259_v2_12,2-259_v1_12,"Modify,Claim",6384,p,p,"2-259_v2_11,title","2-259_v1_11,title",3,3,Discussion,Discussion
1369,2-259,2-259_v2_13,,"Add,Fact/Evidence;Add,Fact/Evidence",6375;6376,p,,"2-259_v2_11,title",,3,,Discussion,
1370,2-259,2-259_v2_16,2-259_v1_16,"Modify,Claim",6385,p,p,"2-259_v2_15,title","2-259_v1_15,title",4,4,Conclusion,Conclusion
1371,2-259,2-259_v2_8,,"Add,Fact/Evidence;Add,Fact/Evidence",6372;6373,p,,"2-259_v2_7,title",,2,,Case report,
1372,2-259,2-259_v2_8,2-259_v1_8,"Modify,Clarity",6378,p,p,"2-259_v2_7,title","2-259_v1_7,title",2,2,Case report,Case report
1373,2-259,2-259_v2_9,2-259_v1_9,"Modify,Fact/Evidence;Modify,Fact/Evidence",6380;6381,p,p,"2-259_v2_7,title","2-259_v1_7,title",2,2,Case report,Case report
1374,2-260,2-260_v2_10,2-260_v1_9,"Modify,Fact/Evidence",6406,p,p,"2-260_v2_3,title","2-260_v1_0,article-title",1,,Introduction,"Promiscuous scaffolds in proteins - non-native, non-additive and non-trivial"
1375,2-260,2-260_v2_11,,"Add,Fact/Evidence;Add,Fact/Evidence",6397;6398,p,,"2-260_v2_3,title",,1,,Introduction,
1376,2-260,2-260_v2_15,2-260_v1_13,"Modify,Grammar;Modify,Clarity",6399;6400,p,p,"2-260_v2_3,title","2-260_v1_0,article-title",1,,Introduction,"Promiscuous scaffolds in proteins - non-native, non-additive and non-trivial"
1377,2-260,2-260_v2_5,,"Add,Fact/Evidence;Add,Fact/Evidence;Add,Fact/Evidence;Add,Fact/Evidence;Add,Fact/Evidence;Add,Fact/Evidence;Add,Fact/Evidence",6387;6388;6389;6390;6391;6392;6393,p,,"2-260_v2_3,title",,1,,Introduction,
1378,2-260,2-260_v2_6,,"Add,Fact/Evidence;Add,Fact/Evidence;Add,Fact/Evidence",6394;6395;6396,p,,"2-260_v2_3,title",,1,,Introduction,
1379,2-260,2-260_v2_7,2-260_v1_5,"Modify,Fact/Evidence;Modify,Clarity",6401;6402,p,p,"2-260_v2_3,title","2-260_v1_0,article-title",1,,Introduction,"Promiscuous scaffolds in proteins - non-native, non-additive and non-trivial"
1380,2-260,2-260_v2_8,2-260_v1_6,"Modify,Fact/Evidence;Modify,Clarity",6403;6404,p,p,"2-260_v2_3,title","2-260_v1_0,article-title",1,,Introduction,"Promiscuous scaffolds in proteins - non-native, non-additive and non-trivial"
1381,2-260,2-260_v2_9,2-260_v1_8,"Modify,Clarity",6405,p,p,"2-260_v2_3,title","2-260_v1_0,article-title",1,,Introduction,"Promiscuous scaffolds in proteins - non-native, non-additive and non-trivial"
1382,2-278,,2-278_v1_5,"Delete,Fact/Evidence;Delete,Claim;Delete,Claim",6407;6408;6409,,p,,"2-278_v1_3,title",,1,,Correspondence
1383,2-278,,2-278_v1_6,"Delete,Claim;Delete,Fact/Evidence;Delete,Fact/Evidence;Delete,Fact/Evidence;Delete,Claim;Delete,Fact/Evidence;Delete,Claim;Delete,Claim",6410;6411;6412;6413;6414;6415;6416;6417,,p,,"2-278_v1_3,title",,1,,Correspondence
1384,2-278,,2-278_v1_8,"Delete,Claim",6418,,p,,"2-278_v1_3,title",,1,,Correspondence
1385,2-278,2-278_v2_2,2-278_v1_2,"Modify,Clarity;Modify,Claim",6423;6427,p,p,"2-278_v2_1,abstract","2-278_v1_1,abstract",,,Abstract,Abstract
1386,2-278,2-278_v2_5,,"Add,Claim;Add,Claim",6419;6420,p,,"2-278_v2_3,title",,1,,Correspondence,
1387,2-278,2-278_v2_5,2-278_v1_5,"Modify,Claim;Modify,Clarity",6424;6425,p,p,"2-278_v2_3,title","2-278_v1_3,title",1,1,Correspondence,Correspondence
1388,2-278,2-278_v2_6,,"Add,Claim;Add,Claim",6421;6422,p,,"2-278_v2_3,title",,1,,Correspondence,
1389,2-278,2-278_v2_6,2-278_v1_7,"Modify,Clarity",6426,p,p,"2-278_v2_3,title","2-278_v1_3,title",1,1,Correspondence,Correspondence
1390,2-282,,2-282_v1_7,"Delete,Fact/Evidence",6432,,p,,"2-282_v1_6,title",,2,,Materials and methods
1391,2-282,2-282_v2_100,,"Add,Fact/Evidence;Add,Claim;Add,Claim",6465;6466;6467,p,,"2-282_v2_99,title",,5,,Conclusion,
1392,2-282,2-282_v2_100,2-282_v1_95,"Modify,Clarity;Modify,Claim;Modify,Fact/Evidence;Modify,Clarity",6485;6486;6487;6488,p,p,"2-282_v2_99,title","2-282_v1_94,title",5,5,Conclusion,Conclusion
1393,2-282,2-282_v2_102,,"Add,Fact/Evidence",6469,p,,"2-282_v2_101,title",,6,,Data availability,
1394,2-282,2-282_v2_103,,"Add,Fact/Evidence",6470,p,,"2-282_v2_101,title",,6,,Data availability,
1395,2-282,2-282_v2_11,2-282_v1_11,"Modify,Fact/Evidence;Modify,Grammar;Modify,Fact/Evidence;Modify,Fact/Evidence",6494;6495;6496;6497,p,p,"2-282_v2_10,title","2-282_v1_10,title",2.1,2.1,A. Description of patients,A. Description of patients
1396,2-282,2-282_v2_15,,"Add,Fact/Evidence",6431,p,,"2-282_v2_14,title",,2.2,,B. Experimental set-up,
1397,2-282,2-282_v2_15,2-282_v1_13,"Modify,Clarity;Modify,Clarity",6498;6499,p,p,"2-282_v2_14,title","2-282_v1_12,title",2.2,2.2,B. Experimental set-up,B. Experimental set-up
1398,2-282,2-282_v2_17,2-282_v1_15,"Modify,Grammar",6500,p,p,"2-282_v2_14,title","2-282_v1_12,title",2.2,2.2,B. Experimental set-up,B. Experimental set-up
1399,2-282,2-282_v2_21,2-282_v1_19,"Modify,Grammar",6501,p,p,"2-282_v2_20,title","2-282_v1_18,title",2.3,2.3,C. Movement detection,C. Movement detection
1400,2-282,2-282_v2_25,2-282_v1_23,"Modify,Fact/Evidence;Modify,Clarity",6471;6472,p,p,"2-282_v2_24,title","2-282_v1_22,title",2.4,2.4,D. EEG module,D. EEG module
1401,2-282,2-282_v2_26,2-282_v1_24,"Modify,Clarity",6473,p,p,"2-282_v2_24,title","2-282_v1_22,title",2.4,2.4,D. EEG module,D. EEG module
1402,2-282,2-282_v2_29,,"Add,Fact/Evidence",6433,p,,"2-282_v2_24,title",,2.4,,D. EEG module,
1403,2-282,2-282_v2_29,2-282_v1_27,"Modify,Fact/Evidence",6474,p,p,"2-282_v2_24,title","2-282_v1_22,title",2.4,2.4,D. EEG module,D. EEG module
1404,2-282,2-282_v2_33,2-282_v1_31,"Modify,Fact/Evidence;Modify,Fact/Evidence",6475;6476,p,p,"2-282_v2_24,title","2-282_v1_22,title",2.4,2.4,D. EEG module,D. EEG module
1405,2-282,2-282_v2_35,2-282_v1_33,"Modify,Clarity",6477,p,p,"2-282_v2_34,title","2-282_v1_32,title",2.5,2.5,E. Corticomuscular module (EEG-EMG),E. Corticomuscular module (EEG-EMG)
1406,2-282,2-282_v2_45,2-282_v1_43,"Modify,Grammar",6478,p,p,"2-282_v2_38,title","2-282_v1_36,title",2.6,2.6,F. Kinematic module,F. Kinematic module
1407,2-282,2-282_v2_47,2-282_v1_45,"Modify,Grammar",6479,p,p,"2-282_v2_38,title","2-282_v1_36,title",2.6,2.6,F. Kinematic module,F. Kinematic module
1408,2-282,2-282_v2_5,,"Add,Fact/Evidence",6428,p,,"2-282_v2_3,title",,1,,Introduction,
1409,2-282,2-282_v2_5,2-282_v1_5,"Split+Identical;Split+Modify,Fact/Evidence;Modify,Clarity;Modify,Fact/Evidence",6489;6490;6491;6492,p,p,"2-282_v2_3,title","2-282_v1_3,title",1,1,Introduction,Introduction
1410,2-282,2-282_v2_59,,"Add,Fact/Evidence;Add,Claim",6434;6435,p,,"2-282_v2_58,title",,3.2,,B. Corticomuscular module,
1411,2-282,2-282_v2_7,,"Add,Fact/Evidence;Add,Fact/Evidence",6429;6430,p,,"2-282_v2_6,title",,2,,Materials and methods,
1412,2-282,2-282_v2_7,2-282_v1_7,"Modify,Fact/Evidence",6493,p,p,"2-282_v2_6,title","2-282_v1_6,title",2,2,Materials and methods,Materials and methods
1413,2-282,2-282_v2_90,,"Add,Fact/Evidence;Add,Claim;Add,Claim;Add,Claim;Add,Fact/Evidence;Add,Fact/Evidence;Add,Fact/Evidence;Add,Fact/Evidence;Add,Fact/Evidence;Add,Claim;Add,Fact/Evidence",6436;6437;6438;6439;6440;6441;6442;6443;6444;6445;6446,p,,"2-282_v2_88,title",,4,,Discussion,
1414,2-282,2-282_v2_91,,"Add,Fact/Evidence;Add,Claim",6447;6448,p,,"2-282_v2_88,title",,4,,Discussion,
1415,2-282,2-282_v2_92,,"Add,Claim;Add,Claim;Add,Claim;Add,Claim;Add,Claim;Add,Claim",6449;6450;6451;6452;6453;6454,p,,"2-282_v2_88,title",,4,,Discussion,
1416,2-282,2-282_v2_94,,"Add,Claim;Add,Fact/Evidence;Add,Claim;Add,Claim;Add,Claim;Add,Claim;Add,Claim",6455;6456;6457;6458;6459;6460;6461,p,,"2-282_v2_88,title",,4,,Discussion,
1417,2-282,2-282_v2_94,2-282_v1_90,"Modify,Clarity;Modify,Fact/Evidence;Split+Modify,Grammar;Split+Identical",6481;6482;6483;6484,p,p,"2-282_v2_88,title","2-282_v1_87,title",4,4,Discussion,Discussion
1418,2-282,2-282_v2_95,,"Add,Claim;Add,Fact/Evidence;Add,Claim",6462;6463;6464,p,,"2-282_v2_88,title",,4,,Discussion,
1419,2-288,,2-288_v1_104,"Delete,Fact/Evidence",6583,,p,,"2-288_v1_103,title",,6.2,,Getting started with JSim
1420,2-288,,2-288_v1_32,"Delete,Fact/Evidence",6580,,p,,"2-288_v1_30,title",,2.3,,JSim overview
1421,2-288,,2-288_v1_78,"Delete,Fact/Evidence",6581,,p,,"2-288_v1_74,title",,2.14,,Parameter confidence ranges
1422,2-288,,2-288_v1_88,"Delete,Fact/Evidence",6582,,p,,"2-288_v1_87,title",,4,,Reproducibility
1423,2-288,2-288_v2_100,,"Add,Fact/Evidence;Add,Claim;Add,Claim",6535;6536;6537,p,,"2-288_v2_96,title",,5,,Code verification,
1424,2-288,2-288_v2_101,,"Add,Fact/Evidence",6538,p,,"2-288_v2_96,title",,5,,Code verification,
1425,2-288,2-288_v2_102,,"Add,Fact/Evidence;Add,Fact/Evidence;Add,Fact/Evidence;Add,Fact/Evidence",6539;6540;6541;6542,p,,"2-288_v2_96,title",,5,,Code verification,
1426,2-288,2-288_v2_104,2-288_v1_88,"Modify,Clarity;Modify,Clarity;Modify,Grammar",6616;6617;6618,p,p,"2-288_v2_103,title","2-288_v1_87,title",6,4,Reproducibility,Reproducibility
1427,2-288,2-288_v2_106,2-288_v1_90,"Modify,Clarity",6620,p,p,"2-288_v2_105,title","2-288_v1_89,title",6.1,4.1,Project files as vehicles for reproducible modeling and data analysis,Project files
1428,2-288,2-288_v2_107,2-288_v1_91,"Modify,Grammar",6621,p,p,"2-288_v2_105,title","2-288_v1_89,title",6.1,4.1,Project files as vehicles for reproducible modeling and data analysis,Project files
1429,2-288,2-288_v2_111,,"Add,Fact/Evidence;Add,Fact/Evidence;Add,Fact/Evidence;Add,Fact/Evidence",6544;6545;6546;6547,p,,"2-288_v2_110,title",,6.3,,Using archived models for analyzing one’s own data,
1430,2-288,2-288_v2_113,,"Add,Fact/Evidence;Add,Fact/Evidence;Add,Fact/Evidence",6549;6550;6551,p,,"2-288_v2_112,title",,7,,Some Alternative Simulation Platforms,
1431,2-288,2-288_v2_114,,"Add,Fact/Evidence;Add,Fact/Evidence;Add,Fact/Evidence;Add,Fact/Evidence",6552;6553;6554;6555,p,,"2-288_v2_112,title",,7,,Some Alternative Simulation Platforms,
1432,2-288,2-288_v2_115,,"Add,Fact/Evidence;Add,Fact/Evidence;Add,Fact/Evidence",6556;6557;6558,p,,"2-288_v2_112,title",,7,,Some Alternative Simulation Platforms,
1433,2-288,2-288_v2_117,,"Add,Fact/Evidence;Add,Fact/Evidence;Add,Fact/Evidence;Add,Fact/Evidence",6559;6560;6561;6562,p,,"2-288_v2_112,title",,7,,Some Alternative Simulation Platforms,
1434,2-288,2-288_v2_118,,"Add,Fact/Evidence;Add,Fact/Evidence;Add,Fact/Evidence;Add,Fact/Evidence;Add,Fact/Evidence",6563;6564;6565;6566;6567,p,,"2-288_v2_112,title",,7,,Some Alternative Simulation Platforms,
1435,2-288,2-288_v2_119,,"Add,Fact/Evidence;Add,Fact/Evidence;Add,Fact/Evidence;Add,Fact/Evidence",6568;6569;6570;6571,p,,"2-288_v2_112,title",,7,,Some Alternative Simulation Platforms,
1436,2-288,2-288_v2_122,2-288_v1_96,"Modify,Clarity",6622,p,p,"2-288_v2_120,title","2-288_v1_94,title",8,5,Summary,Summary
1437,2-288,2-288_v2_129,,"Add,Fact/Evidence;Add,Fact/Evidence;Add,Fact/Evidence;Add,Fact/Evidence;Add,Fact/Evidence;Add,Fact/Evidence",6572;6573;6574;6575;6576;6577,p,,"2-288_v2_125,title",,9.1,,Modular modeling,
1438,2-288,2-288_v2_133,,"Add,Fact/Evidence",6579,p,,"2-288_v2_132,title",,9.3,,Data and software availability,
1439,2-288,2-288_v2_18,2-288_v1_18,"Modify,Grammar",6624,p,p,"2-288_v2_10,title","2-288_v1_10,title",2,2,The THIRTEEN STEPS in the modeling process,The THIRTEEN STEPS in the modeling process
1440,2-288,2-288_v2_31,,"Add,Fact/Evidence",6585,p,,"2-288_v2_30,title",,2.3,,JSim overview,
1441,2-288,2-288_v2_31,2-288_v1_31,"Modify,Fact/Evidence",6593,p,p,"2-288_v2_30,title","2-288_v1_30,title",2.3,2.3,JSim overview,JSim overview
1442,2-288,2-288_v2_32,2-288_v1_32,"Modify,Grammar",6594,p,p,"2-288_v2_30,title","2-288_v1_30,title",2.3,2.3,JSim overview,JSim overview
1443,2-288,2-288_v2_33,,"Add,Claim;Add,Claim;Add,Claim;Add,Claim;Add,Claim;Add,Claim;Add,Fact/Evidence",6586;6587;6588;6589;6590;6591;6592,p,,"2-288_v2_30,title",,2.3,,JSim overview,
