,before,after,label
203,One can relate this hyper-surface with the measurement device frame .,One can relate this hyper-surface to the measurement device frame .,Improve-grammar-Typo
204,It suppresses the cross-correlation power spectrum by about [MATH] at acrminute scales .," For the high redshift samples , it becomes important at sub-degree scales for the high redshift samples where It suppresses the cross-correlation power spectrum by about [MATH] at acrminute scales .",Content
205,"In Sec. II we give a short and very simple proof of the theorem of Lo and Popescu [CITATION] , which is at the basis of the theory of all LOCC , and which states that given two separate parties , say Alice and Bob , all LOCC transformations on a pure bipartite entangled state can be reduced to a contraction by Alice and a unitary transformation by Bob .","In Sec. II we give a short and very simple proof of the theorem of Lo and Popescu [CITATION] , which is at the basis of the theory of all LOCC , and which states that given two separate parties , say Alice and Bob , all LOCC transformations on a pure bipartite state can be reduced to a contraction by Alice and a unitary transformation by Bob .",Lang-improve-readability-Simplify
206,"We first consider the case where [MATH] is smooth and strongly log-concave , and later analyse the effect of relaxing these assumptions .","We focus on the case where [MATH] is smooth and strongly log-concave , and later analyse the effect of relaxing these assumptions .",Lang-professional-Improve-style
207,The parameter space will be further explored in a full length paper .,The parameter space of the model will be further explored in a full length paper .,Lang-accurate-spefific
208,Two type of motility ( e.g. amoeboid and mesenchymal ) have been broadly categorized in cell migration in 3D architechture [CITATION] .,Two types of motility ( e.g. amoeboid and mesenchymal ) have been broadly categorized in cell migration in 3D architechture [CITATION] .,Improve-grammar-Typo
209,Section [REF] present a list of final remarks ., together with Section [REF] present a list of final remarks .,Improve-grammar-Typo
210,Section [REF] present a list of final remarks .,Section [REF] present some final remarks .,Lang-other
211,Section [REF] present a list of final remarks .,Section [REF] is a summary a list of final remarks .,Content
212,"In the following , we will study also different optimality criteria in experimental designs with functional data .","In the following , we will study also different optimality criteria in experimental designs with functional data models .",Lang-accurate-spefific
213,"In the following , we will study also different optimality criteria in experimental designs with functional data ."," As a matter of future work , we will study also different optimality criteria in experimental designs with functional data .",Lang-professional-Improve-style
214,"In the following , we will study also different optimality criteria in experimental designs with functional data .","In the following , we will study also different optimality criteria in the context of functional data .",Content
215,"Each considered SIR-network model captures a class of vaccination behaviors influenced by epidemic characteristics , interaction topology , and imitation dynamics .","Each considered SIR-network model captures a class of vaccination behaviours influenced by epidemic characteristics , interaction topology , and imitation dynamics .",Improve-grammar-Typo
216,"Second , because the non-differentiable points do not have Euclidean tangent spaces , instead of a global manifold we consider the collection local manifolds associated with the regions of [MATH] where [MATH] is [MATH] .","Second , because the non-differentiable points do not have Euclidean tangent spaces , instead of a global manifold we need to consider the collection local manifolds associated with the regions of [MATH] where [MATH] is [MATH] .",Lang-other
217,"For this purpose , we will need some basic definitions and results from the theory of ODEs .","For this purpose , I will need some basic definitions and results from the theory of ODEs .",Lang-professional-Improve-style
218,The subtleties of the asymptotic expansions illustrate the rich physical content behind the nonlinear dispersion relation of the Bogoliubov-vacuum .,The subtleties of the asymptotic expansions illustrate the rich physical content behind the nonlinear dispersion relation of the Bogoliubov vacuum .,Improve-grammar-Typo
219,"Hence , dynamics of quasi-distribution functions for systems of particles with charges of same sign ( charge definite states ) is identical in both cases .","Hence , the dynamics of quasi-distribution functions for systems of particles with charges of same sign ( charge definite states ) is identical in both cases .",Improve-grammar-Typo
220,"Hence , dynamics of quasi-distribution functions for systems of particles with charges of same sign ( charge definite states ) is identical in both cases .","Hence , dynamics of quasi-distribution functions for systems of particles with charges of the same sign ( charge definite states ) is identical in both cases .",Improve-grammar-Typo
221,Recently we have suggested an alternative route to the calculation of the chemical potential by employing the Adaptive Resolution Simulation method in its Grand Canonical-like formulation ( GC-AdResS ) [CITATION] .,Recently we have suggested an alternative route to the calculation of the chemical potential by employing that the Adaptive Resolution Simulation method in its Grand Canonical-like formulation ( GC-AdResS ) [CITATION] .,Improve-grammar-Typo
222,Recently we have suggested an alternative route to the calculation of the chemical potential by employing the Adaptive Resolution Simulation method in its Grand Canonical-like formulation ( GC-AdResS ) [CITATION] .,Recently we have suggested an alternative route to the calculation of the chemical potential could be by employing the Adaptive Resolution Simulation method in its Grand Canonical-like formulation ( GC-AdResS ) [CITATION] .,Improve-grammar-Typo
223,Recently we have suggested an alternative route to the calculation of the chemical potential by employing the Adaptive Resolution Simulation method in its Grand Canonical-like formulation ( GC-AdResS ) [CITATION] .,Recently we have suggested the calculation of the chemical potential by employing the Adaptive Resolution Simulation method in its Grand Canonical-like formulation ( GC-AdResS ) [CITATION] .,Content
224,Recently we have suggested an alternative route to the calculation of the chemical potential by employing the Adaptive Resolution Simulation method in its Grand Canonical-like formulation ( GC-AdResS ) [CITATION] .,Recently we have suggested an alternative route to calculated the chemical potential by employing the Adaptive Resolution Simulation method in its Grand Canonical-like formulation ( GC-AdResS ) [CITATION] .,Lang-other
225,"According to Semenoff and Zarembo 's holographic setup [CITATION] , the exponential factor in the production rate of the gauge field is obtained from the superstring counterpart by the area of the string worldsheet attached to a probe D3-brane , i.e. [EQUATION] where [MATH] is the Nambu-Goto ( NG ) action [CITATION] [EQUATION] and [MATH] is the Kalb-Ramond [CITATION] 2-form ( or NS-NS , where NS is the abbreviation of Neveu-Schwarz [CITATION] ) as an string interaction term , [EQUATION]","According to Semenoff and Zarembo 's holographic setup [CITATION] , the exponential factor in the production rate of the gauge field is obtained from the superstring counterpart by the area of the string worldsheet attached to a probe D3-brane , i.e. [EQUATION] where [MATH] is the Nambu-Goto the ( NG ) action [CITATION] [EQUATION] and [MATH] is the Kalb-Ramond [CITATION] 2-form ( or NS-NS , where NS is the abbreviation of Neveu-Schwarz [CITATION] ) as an string interaction term , [EQUATION]",Improve-grammar-Typo
226,"According to Semenoff and Zarembo 's holographic setup [CITATION] , the exponential factor in the production rate of the gauge field is obtained from the superstring counterpart by the area of the string worldsheet attached to a probe D3-brane , i.e. [EQUATION] where [MATH] is the Nambu-Goto ( NG ) action [CITATION] [EQUATION] and [MATH] is the Kalb-Ramond [CITATION] 2-form ( or NS-NS , where NS is the abbreviation of Neveu-Schwarz [CITATION] ) as an string interaction term , [EQUATION]","According to Semenoff and Zarembo 's holographic setup [CITATION] , the exponential factor in the production rate of the gauge field is obtained from the superstring counterpart by the area of the string worldsheet attached to a probe D3-brane , i.e. [EQUATION] where [MATH] is the Nambu-Goto ( NG ) action [CITATION] [EQUATION] depending on the induced metric [EQUATION] and [MATH] is the Kalb-Ramond [CITATION] 2-form ( or NS-NS , where NS is the abbreviation of Neveu-Schwarz [CITATION] ) as an string interaction term , [EQUATION]",Content
227,If [MATH] the FS is a sphere .,If [MATH] the FS of is a sphere .,Improve-grammar-Typo
228,If [MATH] the FS is a sphere .,If [MATH] the FS are spheres .,Improve-grammar-Typo
229,"We review the quiver matrix model ( the ITEP model ) in the light of the recent progress on 2d-4d connection of conformal field theories , in particular , the AGT conjecture and the recent proposal by Dijkgraaf and Vafa on the relation between Toda field theories and a class of quiver superconformal gauge theories .","We review the quiver matrix model ( the ITEP model ) in the light of the recent progress on 2d-4d connection of conformal field theories , in particular , on the relation between Toda field theories and a class of quiver superconformal gauge theories .",Content
230,"However , despite its success and rapid adoption , maximum-a-posteriori estimation is not theoretically well understood yet .","However , despite its success and rapid adoption , maximum-a-posteriori estimation is not theoretically well understood yet , and the prevalent view is that it is generally not proper Bayesian estimation in a decision-theoretic sense .",Content
231,"However , despite its success and rapid adoption , maximum-a-posteriori estimation is not theoretically well understood yet .","However , despite its success and rapid adoption , MAP estimation is not theoretically well understood yet .",Lang-professional-Improve-style
232,"Finally , one can check that the RG relation ( [REF] ) is fulfilled only if Eq. ( [REF] ) holds .","Finally , one can also check that the RG relation ( [REF] ) is fulfilled only if Eq. ( [REF] ) holds .",Lang-professional-Improve-style
233,"Finally , one can check that the RG relation ( [REF] ) is fulfilled only if Eq. ( [REF] ) holds .","Finally , one can check that the RG relations ( [REF] ) is fulfilled only if Eq. ( [REF] ) holds .",Improve-grammar-Typo
234,"Finally , one can check that the RG relation ( [REF] ) is fulfilled only if Eq. ( [REF] ) holds .","Finally , one can check that the RG relation ( [REF] ) are fulfilled only if Eq. ( [REF] ) holds .",Improve-grammar-Typo
235,"To verify the last equation [MATH] , denote by [MATH] the Lebesgue measure on [MATH] , and observe that the map [MATH] is measurable .","To verify equation [MATH] , denote by [MATH] the Lebesgue measure on [MATH] , and observe that the map [MATH] is measurable .",Lang-improve-readability-Simplify
236,"To provide an explicit estimation , we treat the worldsheet in the particular problems as perturbations around the one with circle boundary , which has been solved exactly .","To provide an explicit estimation , we treat the worldsheets in the particular problems as perturbations around the one with circle boundary , which has been solved exactly .",Improve-grammar-Typo
237,"To provide an explicit estimation , we treat the worldsheet in the particular problems as perturbations around the one with circle boundary , which has been solved exactly .","To provide an explicit estimation , we treat the worldsheet specific as perturbations around the one with circle boundary , which has been solved exactly .",Lang-professional-Improve-style
238,"To provide an explicit estimation , we treat the worldsheet in the particular problems as perturbations around the one with circle boundary , which has been solved exactly .","To provide an explicit estimation , we treat the worldsheet in the particular problems as perturbations around the one with circle boundary , which had been solved exactly .",Improve-grammar-Typo
239,"In the study item phase , two CSI-RS transmission strategies , i.e. , extension of conventional non-precoded CSI-RS and beamformed CSI-RS , are suggested .","In the FD-MIMO systems , two CSI-RS transmission strategies , i.e. , extension of conventional non-precoded CSI-RS and beamformed CSI-RS , are suggested .",Content
240,"Therefore , the obtained results are not valid when the field goes close to the Schwinger limit , and can not answer the question whether a vacuum cascade happens near the critical field strength .","Therefore , the obtained results are not valid when the field goes close to the critical limit , and can not answer the question whether a vacuum cascade happens near the critical field strength .",Lang-accurate-spefific
241,"For this purpose , we introduce the formula for square of the module of scalar product of state [MATH] and state [MATH] : [EQUATION]","For this purpose , we introduce the formula for the square of the module of scalar product of state [MATH] and state [MATH] : [EQUATION]",Improve-grammar-Typo
242,"For this purpose , we introduce the formula for square of the module of scalar product of state [MATH] and state [MATH] : [EQUATION]","For this purpose , we introduce the formula for square of the module of scalar product of the state [MATH] and state [MATH] : [EQUATION]",Improve-grammar-Typo
243,The corresponding collective field realization of chiral scalars are given by [EQUATION],The corresponding collective field realization of chiral scalars is given by [EQUATION],Improve-grammar-Typo
244,"In fact , the obtained relations ( [REF] ) demonstrate that the fermion and the scalar sectors of the new physics are strongly connected .","In fact , the obtained relations ( [REF] ) demonstrate that the fermion and the scalar sectors of new physics are strongly connected .",Improve-grammar-Typo
245,"From the figures and tables , we see that the spatially flat [MATH] CDM model is a reasonable fit to the [MATH] and BAO data we use .","From the figures and tables , we see that the spatially flat [MATH] CDM model is a reasonable fit to the [MATH] and BAO data we use ( although the flat XCDM parametrization and flat [MATH] CDM model provide slightly better fits in the [MATH] km s [MATH] Mpc [MATH] case ) .",Content
246,"It should be noticed , that this approach differs from [CITATION] where there is the preferred frame .","It should be noted , that this approach differs from [CITATION] where there is the preferred frame .",Lang-professional-Improve-style
247,The first example is pair production in the single-pulse field [CITATION] .,The first example is pair production in Let us see the single-pulse field [CITATION] .,Content
248,The first example is pair production in the single-pulse field [CITATION] .,The first nontrivial example is pair production in the single-pulse field [CITATION] .,Lang-accurate-spefific
249,The first example is pair production in the single-pulse field [CITATION] .,"The first example is , pair production in the single-pulse field [CITATION] .",Format
250,The first example is pair production in the single-pulse field [CITATION] .,The first example pair production in the single-pulse field [CITATION] .,Improve-grammar-Typo
251,"While massive MIMO technology is key enabler for the next generation cellular systems , there are many practical challenges down the road to the successful commercialization .","While the massive MIMO technology is key enabler for the next generation cellular systems , there are many practical challenges down the road to the successful commercialization .",Improve-grammar-Typo
252,"While massive MIMO technology is key enabler for the next generation cellular systems , there are many practical challenges down the road to the successful commercialization .","While massive MIMO technology is one of key enabler for the next generation cellular systems , there are many practical challenges down the road to the successful commercialization .",Lang-accurate-spefific
253,"We observed delays of the pulse arrival times produced by the circular orbit of the neutron star around a companion star of a mass larger than [MATH] , with an orbital period of [MATH] hours .","We observed delays of the pulse arrival times produced by the circular orbit of the neutron star around a companion star of a mass larger than [MATH] , with an orbital period of [MATH] hours ( see Fig. [REF] ) .",Format
254,"We observed delays of the pulse arrival times produced by the circular orbit of the neutron star around a companion star of a mass larger than [MATH] , with an orbital period of [MATH] hours .","We observed delays of the pulse arrival times produced by the orbit of the neutron star around a companion star of a mass larger than [MATH] , with an orbital period of [MATH] hours .",Lang-improve-readability-Simplify
255,"We observed delays of the pulse arrival times produced by the circular orbit of the neutron star around a companion star of a mass larger than [MATH] , with an orbital period of [MATH] hours .","We observed delays of the pulse arrival times produced by the circular orbit of the neutron star around a companion star of a mass [MATH] , with an orbital period of [MATH] hours .",Content
256,"For the Galambos copula , an alternative and exact simulation strategy is developed in [CITATION] , based on an idea originally due to [CITATION] .","For extreme-value copulas , a family whose intersection with reciprocal Archimedean copulas equals the Galambos copula , an alternative and exact simulation strategy is developed in [CITATION] , based on an idea originally due to [CITATION] .",Content
257,"In this context early scrapping of usable capital produces stranded assets that do not produce the expected income , generates losses and requiring new investments earlier than expected .","In this context , early scrapping of usable capital produces stranded assets that do not produce the expected income , generates losses and requiring new investments earlier than expected .",Format
258,"In this context early scrapping of usable capital produces stranded assets that do not produce the expected income , generates losses and requiring new investments earlier than expected .","In this context early scrapping of usable capital produces stranded assets that do not produce the expected income , generating losses and requiring new investments earlier than expected .",Improve-grammar-Typo
259,"However after computations , we find that the introduction of the correction term also leads to a contradiction to the weak-field condition near the critical field strength , which makes it indispensable to further investigate the strong-coupling case in a dynamic field .","However after computations , we find that the introduction of the correction term also leads to a contradiction to the weak-field condition near the critical field strength .",Content
260,"For example , once the eNB obtains the CDI , this can be used for the beamforming vector of two-port CSI-RS and each CSI-RS port is mapped to the different polarized antennas .","For example , once eNB obtains the CDI , this can be used for the beamforming vector of two-port CSI-RS and each CSI-RS port is mapped to the different polarized antennas .",Improve-grammar-Typo
261,"Note that in the low network loading ( low interference scenario ) , gain of the FD-MIMO systems is coming from the 3D beamforming and in the medium to high network loading ( high interference scenario ) , gain is mainly due to the multiuser precoding of the 2D active antenna array .","Note that in the low network loading ( low interference scenario ) , gain of the FD-MIMO systems is coming from the 3D beamforming and in the medium to high network loading ( high interference scenario ) , this gain is mainly due to the multiuser precoding of the 2D active antenna array .",Lang-accurate-spefific
262,"Note that in the low network loading ( low interference scenario ) , gain of the FD-MIMO systems is coming from the 3D beamforming and in the medium to high network loading ( high interference scenario ) , gain is mainly due to the multiuser precoding of the 2D active antenna array ."," in the medium to high network loading ( high interference scenario ) , gain is mainly due to the multiuser precoding of the 2D active antenna array .",Content
263,"In the second case , eNB transmits multiple beamformed CSI-RS and among these UE selects the preferred CSI-RS and then feeds back the index of it .","In the second case , eNB transmits multiple beamformed CSI-RS and among these UE selects the preferred CSI-RS and then feeds back the index of it ( for simplicity , we call it beam ) using connected arrays architecture .",Content
264,"In the second case , eNB transmits multiple beamformed CSI-RS and among these UE selects the preferred CSI-RS and then feeds back the index of it .","In the second case , eNB transmits multiple beamformed CSI-RS .",Content
265,"In the second case , eNB transmits multiple beamformed CSI-RS and among these UE selects the preferred CSI-RS and then feeds back the index of it .","In the second strategy , eNB transmits multiple beamformed CSI-RS and among these UE selects the preferred CSI-RS and then feeds back the index of it .",Lang-accurate-spefific
266,"Finally , subsec : limit deals with the behavior of the function [MATH] in the limit of the effective coupling constant going to zero .","Finally , subsec : limit deals with the behavior of the function [MATH] in the limit of the effective coupling constant between the particles going to zero .",Lang-accurate-spefific
267,"In order to support backward compatibility and also perform fair comparison among schemes under test , we employ the conventional MMSE based channel estimation .","In order to support the backward compatibility and also perform fair comparison among schemes under test , we employ the conventional MMSE based channel estimation .",Improve-grammar-Typo
268,"In order to support backward compatibility and also perform fair comparison among schemes under test , we employ the conventional MMSE based channel estimation .","In order to support backward compatibility and also perform fair comparison among schemes under test , we employ the conventional MMSE-based channel estimation .",Improve-grammar-Typo
269,"Hence , it follows that originally independent parameters [MATH] , [MATH] , [MATH] are appeared to be connected .","Hence , it follows that originally independent parameters [MATH] , [MATH] , [MATH] are appeared to be the connected ones .",Lang-other
270,"Hence , it follows that originally independent parameters [MATH] , [MATH] , [MATH] are appeared to be connected .","Hence one can see that originally independent parameters [MATH] , [MATH] , [MATH] are appeared to be connected .",Content
271,"In addition , the introduction of the correction term leads to a contradiction to the weak-field condition near the critical field strength , which also makes it indispensable to further investigate the strong-coupling case in a dynamic field .","In addition , the introduction of the correction term leads to a contradiction to the weak-field condition near the critical field strength , which also makes it indispensable to further investigate However after computations , we find that the strong-coupling case in a dynamic field .",Content
272,"In addition , the introduction of the correction term leads to a contradiction to the weak-field condition near the critical field strength , which also makes it indispensable to further investigate the strong-coupling case in a dynamic field ."," the introduction of the correction term leads to a contradiction to the weak-field condition near the critical field strength , which also makes it indispensable to further investigate the strong-coupling case in a dynamic field .",Lang-improve-readability-Simplify
273,The organization of this paper is as follows : we first briefly review the model used in the simulations and then discuss our results and their implications .,The organization of this paper is as follows .,Content
274,We then just need to select a permutation matrix [MATH] for every [MATH] and then to randomly change a [MATH] -entry into a [MATH] in one of the matrices without modifying the block-permutation structures : this is always possible as the blocks of the partitions are non trivial and a permutation matrix has just [MATH] positive entries .,We then just need to select a permutation matrix [MATH] for every [MATH] and then to randomly change a [MATH] -entry into a [MATH] in one of the matrices without modifying its block-permutation structures : this is always possible as the blocks of the partitions are non trivial and a permutation matrix has just [MATH] positive entries .,Lang-accurate-spefific
275,"The important ( analytical ) technic used by both authors is the estimation of the distortion function , which has already appeared in [CITATION] .","The important ( analytical ) technic used by both authors is the estimation of In [CITATION] and [CITATION] , the distortion function , which has already appeared in [CITATION] .",Format
276,The obtained results are summarized in section [REF] .,The of the investigation results are summarized in section [REF] .,Lang-accurate-spefific
277,The basic idea of our technique is to use an upwind monotonic scheme to propagate 1D wavefronts along a large number of rays in 3D at the speed of light .,The basic idea of our technique is to For the diffuse component we use an upwind monotonic scheme to propagate 1D wavefronts along a large number of rays in 3D at the speed of light .,Content
278,The basic idea of our technique is to use an upwind monotonic scheme to propagate 1D wavefronts along a large number of rays in 3D at the speed of light .,The basic idea of our technique is to use an upwind monotonic scheme to propagate 1D wavefronts [MATH] along a large number of rays in 3D at the speed of light .,Format
279,The basic idea of our technique is to use an upwind monotonic scheme to propagate 1D wavefronts along a large number of rays in 3D at the speed of light ., use an upwind monotonic scheme to propagate 1D wavefronts along a large number of rays in 3D at the speed of light .,Content
280,"In angular space , on the right-hand panel , the RS effect is seen to dominates at scales smaller than one degree and it is still significant even at a few degrees .","In angular space , on the right-hand panel , the RS effect is negligible at [MATH] degree for all redshift samples .",Content
281,"[CITATION] Depending on the specific application , materials with different ranges of [MATH] values are desired ."," Depending on the specific application , materials with different ranges of [MATH] values are desired .",Format
282,"Additionally , recent astrophysical observations indicate us that the universe is presently undergoing a phase of accelerated expansion that has been attributed to a peculiar kind of source of the Einstein 's field equations aknowledged as "" dark energy "" [CITATION] The crucial feature of the dark energy which ensures an accelerated expansion of the universe is that it breaks the strong energy condition .","Additionally , recent astrophysical observations indicate us that the universe is presently undergoing a phase of accelerated expansion that has been attributed to a peculiar kind of source of the Einstein 's field equations aknowledged as "" dark energy "" [CITATION] .",Content
283,"Additionally , recent astrophysical observations indicate us that the universe is presently undergoing a phase of accelerated expansion that has been attributed to a peculiar kind of source of the Einstein 's field equations aknowledged as "" dark energy "" [CITATION] The crucial feature of the dark energy which ensures an accelerated expansion of the universe is that it breaks the strong energy condition .","Additionally , recent astrophysical observations indicate us that the universe is presently undergoing a phase of accelerated expansion that has been attributed to a peculiar kind of source of the Einstein 's field equations acknowledged as "" dark energy "" [CITATION] The crucial feature of the dark energy which ensures an accelerated expansion of the universe is that it breaks the strong energy condition .",Improve-grammar-Typo
284,"As [MATH] , [EQUATION] namely the zeroth order of [MATH] is just the circle boundary ."," Thus to make an effect estimation , we expand the instanton at adiabatic limit , As [MATH] , [EQUATION] namely the zeroth order of [MATH] is just the circle boundary .",Content
285,"As [MATH] , [EQUATION] namely the zeroth order of [MATH] is just the circle boundary .","As [MATH] , [EQUATION] namely the zeroth order of [MATH] is just the circle boundary eq. [REF] .",Format
286,"As [MATH] , [EQUATION] namely the zeroth order of [MATH] is just the circle boundary ."," i.e. [MATH] , [EQUATION] namely the zeroth order of [MATH] is just the circle boundary .",Improve-grammar-Typo
287,"Much of the difficulty , thus , comes from inability to get decent numerical resolution in the 5D ( or 6D with frequency ) space with present-day computers .","Much of the difficulty thus , comes from inability to get decent numerical resolution in the 5D ( or 6D with frequency ) space with present-day computers .",Format
288,"Much of the difficulty , thus , comes from inability to get decent numerical resolution in the 5D ( or 6D with frequency ) space with present-day computers .","Much of the difficulty , thus comes from inability to get decent numerical resolution in the 5D ( or 6D with frequency ) space with present-day computers .",Format
289,"In contrast , when antennas are arranged in a square array , relatively small space is required ( e.g. , 1.0 [MATH] 0.5m with dual-polarized 8 [MATH] 8 antenna array ) .","In contrast , when antennas are arranged in a square array , relatively small space is required for 2D antenna array ( e.g. , 1.0 [MATH] 0.5m with dual-polarized 8 [MATH] 8 antenna array ) .",Content
290,Here we adopt an opposite perspective : we start by defining a Riemannian manifold [MATH] and then use the relationship to identify the divergence functions that arise naturally in that space .,Here we adopt an opposite perspective : we start by considering a Riemannian manifold [MATH] and then use the relationship to identify the divergence functions that arise naturally in that space .,Lang-accurate-spefific
291,"We show that in a diffusion and path-dependent perspective , the impact of combinations of policies does not correspond to the sum of the impacts of individual instruments : synergies exist between policy tools .","We show that in a diffusion and path-dependent perspective , the impact of combinations of policies does not correspond to the sum of impacts of individual instruments : synergies exist between policy tools .",Improve-grammar-Typo
292,"Meanwhile , the electricity decarbonisation scenario yields warming values of [MATH] C with carbon cycle uncertainty only and [MATH] C with both carbon cycle and climate model uncertainties , with a very small probability of not exceeding [MATH] C of warming .","Meanwhile , the electricity decarbonisation scenario yields warming values of [MATH] C with carbon cycle uncertainty only and [MATH] C with both carbon cycle and climate model uncertainties , with a very small probability of not exceeding [MATH] C of between warming .",Improve-grammar-Typo
293,"Meanwhile , the electricity decarbonisation scenario yields warming values of [MATH] C with carbon cycle uncertainty only and [MATH] C with both carbon cycle and climate model uncertainties , with a very small probability of not exceeding [MATH] C of warming .","Meanwhile , the electricity decarbonisation scenario yields warming values of [MATH] C with carbon cycle uncertainty only and [MATH] C with both carbon cycle and climate model uncertainties , with a very small probability of not exceeding [MATH] C and [MATH] C , median of [MATH] C , of warming .",Content
294,"Meanwhile , the electricity decarbonisation scenario yields warming values of [MATH] C with carbon cycle uncertainty only and [MATH] C with both carbon cycle and climate model uncertainties , with a very small probability of not exceeding [MATH] C of warming .","Meanwhile , the electricity decarbonisation scenario yields warming values of [MATH] C with carbon cycle uncertainty only and [MATH] C with both carbon cycle and between [MATH] C and climate model uncertainties , with a very small probability of not exceeding [MATH] C of warming .",Content
295,"Meanwhile , the electricity decarbonisation scenario yields warming values of [MATH] C with carbon cycle uncertainty only and [MATH] C with both carbon cycle and climate model uncertainties , with a very small probability of not exceeding [MATH] C of warming .","Meanwhile , the electricity decarbonisation scenario yields warming values of [MATH] C with carbon cycle uncertainty only and [MATH] C with both carbon cycle and climate model uncertainties , with a very small probability of not exceeding [MATH] C , same median , of warming .",Content
296,"Meanwhile , the electricity decarbonisation scenario yields warming values of [MATH] C with carbon cycle uncertainty only and [MATH] C with both carbon cycle and climate model uncertainties , with a very small probability of not exceeding [MATH] C of warming .","Meanwhile , the electricity decarbonisation scenario yields warming values of [MATH] C with carbon cycle uncertainty only and [MATH] C with both carbon cycle and climate model uncertainties .",Content
297,"These include new transceiver architecture ( TXRU architecture ) , new RS transmission scheme ( beamformed CSI-RS transmissions ) , and channel direction information feedback , and many more .","These include new transceiver architecture ( TXRU architecture ) , new RS transmission scheme ( beamformed CSI-RS transmissions ) , and channel direction information feedback ( beam index feedback ) , and many more .",Content
298,"These include new transceiver architecture ( TXRU architecture ) , new RS transmission scheme ( beamformed CSI-RS transmissions ) , and channel direction information feedback , and many more .","These include new transceiver architecture ( TXRU architecture ) , new RS transmission scheme ( beamformed CSI-RS transmissions ) , and channel direction information feedback , and enhanced many more .",Lang-accurate-spefific
299,"These include new transceiver architecture ( TXRU architecture ) , new RS transmission scheme ( beamformed CSI-RS transmissions ) , and channel direction information feedback , and many more .","These include new transceiver architecture ( TXRU architecture ) , new RS transmission scheme ( beamformed CSI-RS transmissions ) , and channel feedback , and many more .",Lang-improve-readability-Simplify
300,"These include new transceiver architecture ( TXRU architecture ) , new RS transmission scheme ( beamformed CSI-RS transmissions ) , and channel direction information feedback , and many more .","These include new transmitter architecture ( TXRU architecture ) , new RS transmission scheme ( beamformed CSI-RS transmissions ) , and channel direction information feedback , and many more .",Lang-accurate-spefific
301,"These include new transceiver architecture ( TXRU architecture ) , new RS transmission scheme ( beamformed CSI-RS transmissions ) , and channel direction information feedback , and many more .","These include new transceiver architecture ( array connected architecture ) , new RS transmission scheme ( beamformed CSI-RS transmissions ) , and channel direction information feedback , and many more .",Lang-accurate-spefific
302,"Since in GC-AdResS the procedure to calculate [MATH] corresponds to the standard initial equilibration of the system , the advantage of the proposed approach is that [MATH] is automatically calculated every time a simulation is performed .","Since in GC-AdResS the procedure to calculate [MATH] corresponds to the standard initial equilibration of the system , the advantage of the process of proposed approach is that [MATH] is automatically calculated every time a simulation is performed .",Lang-accurate-spefific
303,"Since in GC-AdResS the procedure to calculate [MATH] corresponds to the standard initial equilibration of the system , the advantage of the proposed approach is that [MATH] is automatically calculated every time a simulation is performed .","Since in GC-AdResS the procedure to calculate [MATH] corresponds to the standard initial equilibration of the system , the advantage of the proposed approach is that this implies that , independently of the specific aim of the study , [MATH] is automatically calculated every time a simulation is performed .",Content
304,"Since in GC-AdResS the procedure to calculate [MATH] corresponds to the standard initial equilibration of the system , the advantage of the proposed approach is that [MATH] is automatically calculated every time a simulation is performed .","Since in GC-AdResS the procedure to calculate [MATH] corresponds to the standard initial equilibration of the system , the advantage of the proposed approach is that [MATH] is automatically calculated every time a simulation , for each molecular species , is performed .",Content
305,"Since in GC-AdResS the procedure to calculate [MATH] corresponds to the standard initial equilibration of the system , the advantage of the proposed approach is that [MATH] is automatically calculated every time a simulation is performed .","Since in GC-AdResS the procedure to calculate [MATH] corresponds to the standard initial equilibration of the system , the advantage of the proposed approach is that [MATH] is automatically calculated every time a simulation GC-AdResS is performed .",Content
306,"Since in GC-AdResS the procedure to calculate [MATH] corresponds to the standard initial equilibration of the system , the advantage of the proposed approach is that [MATH] is automatically calculated every time a simulation is performed ."," in GC-AdResS the procedure to calculate [MATH] corresponds to the standard initial equilibration of the system , the advantage of the proposed approach is that [MATH] is automatically calculated every time a simulation is performed .",Lang-improve-readability-Simplify
307,"Since in GC-AdResS the procedure to calculate [MATH] corresponds to the standard initial equilibration of the system , the advantage of the proposed approach is that [MATH] is automatically calculated every time a simulation is performed .","Since in GC-AdResS the procedure to calculate [MATH] corresponds to the standard initial equilibration of the system , [MATH] is automatically calculated every time a simulation is performed .",Content
308,"Since in GC-AdResS the procedure to calculate [MATH] corresponds to the standard initial equilibration of the system , the advantage of the proposed approach is that [MATH] is automatically calculated every time a simulation is performed .",Since in GC-AdResS the procedure to calculate [MATH] corresponds to the standard initial equilibration of the system ; the advantage of the proposed approach is that [MATH] is automatically calculated every time a simulation is performed .,Format
309,Thus the regularised Wilson loop for single scalar pair can be recovered [CITATION] [EQUATION],Thus the regularised Wilson loop for a single scalar pair can be recovered [CITATION] [EQUATION],Improve-grammar-Typo
310,Thus the regularised Wilson loop for single scalar pair can be recovered [CITATION] [EQUATION],Thus the regularised Wilson loop for single scalar pair can be recovered as [CITATION] [EQUATION],Improve-grammar-Typo
311,Thus the regularised Wilson loop for single scalar pair can be recovered [CITATION] [EQUATION], and the production rate is given by [EQUATION] from which the critical field for vacuum cascade can be estimated by [EQUATION] Thus the regularised Wilson loop for single scalar pair can be recovered [CITATION] [EQUATION],Content
