,doc_name,node_ix_src,text_src,label
201,21-ARR,21-ARR_v1_review1_3@0,summary_of_weaknesses. - The proposed method is quite simple.,Weakness
202,21-ARR,21-ARR_v1_review1_3@2,"
- The achieved performance boost is moderate.",Weakness
203,21-ARR,21-ARR_v1_review1_3@4,"This analysis, though very welcome, demonstrates that the proposed method suffers a large computational penalty for a small accuracy/F1 gain.",Weakness
204,21-ARR,21-ARR_v1_review1_4@1,"This paper is a resubmission from ARR August, and it has not been significantly improved.",Weakness
205,23-ARR,23-ARR_v1_review1_3@1,1. My biggest concern is whether the templates are domain or dataset-specific.,Implicit edit suggestion
206,23-ARR,23-ARR_v1_review1_3@2,"The motivation is to address the domain generalization on column operations, but it is implemented by manually crafted ad-hoc templates that could be tailored for the datasets.",Weakness
207,23-ARR,23-ARR_v1_review1_3@6,So I'm not sure whether repartitioning the SQUALL is the best choice or any other resources are also available.,Weakness
208,23-ARR,23-ARR_v1_review2_3@1,1. A critical weakness of the paper is the lack of novelty and incremental nature of work.,Weakness
209,23-ARR,23-ARR_v1_review2_3@6,"With the help of these column templates, I think many approaches (parsers) can easily solve the problem.",Weakness
210,23-ARR,23-ARR_v1_review2_4@1,"1. It will good if the authors can learn the templates for schema expansion from source domain data. 
",Implicit edit suggestion
211,23-ARR,23-ARR_v1_review2_4@3,"Comparing with below methods will show generality of ideas proposed in the paper in a much better way.
",Implicit edit suggestion
212,23-ARR,23-ARR_v1_review3_3@1,"As mentioned in the paper, the process of expanding columns is quite heuristic, and pruning is arguably tricky to train and tune.",Weakness
213,23-ARR,23-ARR_v1_review3_4@1,Maybe the authors can talk a bit about what the findings of this work imply from the perspective of the creator/maintainers of databases.,Implicit edit suggestion
214,23-ARR,23-ARR_v1_review4_3@1,"The column operation problem is worth studying, and the proposed ideas are also good, but the implementation is not exciting.
",Weakness
215,23-ARR,23-ARR_v1_review4_3@4,"So, while this is indeed a solution, the manual schema expansion method is not exciting.  ",Weakness
216,23-ARR,23-ARR_v1_review4_3@5,"Secondly, I think schema pruning should be directly integrated into the text-to-SQL model and trained together, just like many models on the Spider leaderboard.",Implicit edit suggestion
217,23-ARR,23-ARR_v1_review4_3@8,"Unless detailed comparative experimental, I do not think the current schema pruning design is reasonable.",Weakness
218,23-ARR,23-ARR_v1_review4_4@1,An auto Schema Extension method would be more exciting.,Implicit edit suggestion
219,25-ARR,25-ARR_v1_review1_3@1,"1. From an experimental design perspective, the experimental design suggested by the authors has been used widely for open-domain dialogue systems with the caveat of it not being done in live interactive settings. 
",Weakness
220,25-ARR,25-ARR_v1_review1_3@2,2. The authors have not referenced those works that use continuous scales in the evaluation and there is a large bunch of literature missing from the paper.,Weakness
221,25-ARR,25-ARR_v1_review1_3@4,3. Lack of screenshots of the experimental interface,Weakness
222,25-ARR,25-ARR_v1_review1_4@1,"Comments: 1. Please add screenshots of the interface that was designed. 
",Implicit edit suggestion
223,25-ARR,25-ARR_v1_review1_4@10,"Missing References: 1. Howcroft, David M., Anja Belz, Miruna-Adriana Clinciu, Dimitra Gkatzia, Sadid A. Hasan, Saad Mahamood, Simon Mille, Emiel van Miltenburg, Sashank Santhanam, and Verena Rieser.",Implicit edit suggestion
224,25-ARR,25-ARR_v1_review1_4@14,"2. Santhanam, S. and Shaikh, S., 2019.",Implicit edit suggestion
225,25-ARR,25-ARR_v1_review1_4@17,"3. Santhanam, S., Karduni, A. and Shaikh, S., 2020, April.",Implicit edit suggestion
226,25-ARR,25-ARR_v1_review1_4@2,"2. Repetition of the word Tables in Line 549 3. In Appendix A.3, the GLEU metric is reference as GLUE.
",Weakness
227,25-ARR,25-ARR_v1_review1_4@20,"4. Novikova, J., Dušek, O. and Rieser, V., 2018.",Implicit edit suggestion
228,25-ARR,25-ARR_v1_review1_4@23,"5. Li, M., Weston, J. and Roller, S., 2019.",Implicit edit suggestion
229,25-ARR,25-ARR_v1_review1_4@5,There is no supporting explanation about it.,Weakness
230,25-ARR,25-ARR_v1_review1_4@7,"3. With regards to the model section, is there any particular reason that there was an emphasis on choosing retriever-based transformer models over generative models?",Weakness
231,25-ARR,25-ARR_v1_review1_4@9,"4. In figure 6, what are the models in the last two columns lan_model_p and lan_model? 
",Weakness
232,3-189,3-189_v1_report5786_3@0,Abstract: Report ranges and mean lengths for spiny dogfish captured.,Explicit edit suggestion
233,3-189,3-189_v1_report5786_3@1,Length at maturity should state length at 50% maturity.,Explicit edit suggestion
234,3-189,3-189_v1_report5786_3@2,"Significant digits for depth should be reported to the nearest tenth of a meter, this should also be corrected throughout the manuscript.",Explicit edit suggestion
235,3-189,3-189_v1_report5786_4@0,"Methods : Paragraph two, the authors should clarify if total length measurements are natural total length, or stretch total length.",Explicit edit suggestion
236,3-189,3-189_v1_report5786_5@0,"Results: Significant digits need to be corrected, again depths should reported to the nearest tenth of a meter, also DO significant digits are reported to the nearest tenth in one instance and the nearest one hundredth in the next.",Explicit edit suggestion
237,3-189,3-189_v1_report5786_6@0,For capture events it isn't necessary to report additional catch (batoids) as these data do not contribute to the note.,Explicit edit suggestion
238,3-189,3-189_v1_report5786_7@0,"Discussion: If temperature data are available for the Rulifson et al. (2012) reported June encounters of spiny dogfish, these data should be reported.",Explicit edit suggestion
239,3-189,3-189_v1_report5786_8@0,"For Nammack et al reference, report what metric of length at maturity this is (median or length at 50% maturity)",Explicit edit suggestion
240,3-189,3-189_v1_report6101_1@1,I believe though that the authors need to pare back the content in the methods section to that relevant to the main focus of the paper and not overstate the findings as they relate to habitat use within the estuary in the results and discussion sections.,Explicit edit suggestion
241,3-189,3-189_v1_report6101_2@0,"- Abstract Remove sentence beginning with ""Stations where dogfish..."" as there are not enough samples to make any sort of inference to estuary or habitat use",Explicit edit suggestion
242,3-189,3-189_v1_report6101_2@1,"- Methods Remove the sentence in the first paragraph beginning with ""Sampling locations were chosen..."" as this is not relevant to the capture of the Spiny Dogfish. Remove the mention and description of longline gear use in the second paragraph, as the spiny dogfish were all caught using gillnets. While the survey may have utilized both gear types, the Spiny Dogfish focused on in this paper were not caught with longline. Remove all sentences beginning with ""Distance from the nearest inlet..."" through the remainder of the second paragraph, as this information is not utilized in the analysis. Remove the sentences beginning with ""All batoids were identified..."" through the end of the paragraph as this is not relevant to the topic of this manuscript.",Explicit edit suggestion
243,3-189,3-189_v1_report6101_2@2,- Results Remove all mention of other species captured concurrently with Spiny Dogfish. Remove sentences referring to capture site in relation to inlets and seagrass areas. There is not enough information to do analysis in regards to habitat use.,Explicit edit suggestion
244,3-189,3-189_v1_report6101_2@3,"- Discussion Remove the sentence in the fourth paragraph beginning with ""Spiny dogfish feed primarily on..."" as this is way too speculative based on the catch of a few harvest fish in one net that also caught spiny dogfish. Remove the fourth paragraph as there are too few samples collected to make any inferences about habitat use for this manuscript.",Explicit edit suggestion
245,3-189,3-189_v1_report6101_3@0,"In general, the manuscript provides useful information in regards to new maximum temperatures recorded for spiny dogfish catch, but I want to emphasize that I would caution the authors from making too many speculative assertions based on limited catch at these temperatures.",Weakness
246,3-190,3-190_v1_report5801_2@3,There are two typos in the first paragraph of the Discussion (detailed below) which should be addressed.,Explicit edit suggestion
247,3-190,3-190_v1_report5801_3@0,"- In the sentence “A review of published shark age and growth studies shows that, in most studies, that females have a greater…,” remove that.",Explicit edit suggestion
248,3-190,3-190_v1_report5801_3@1,"- In the sentence “Therefore, we believe that we did not sample older females and suggest that the longevity estimates maximum observed longevity we observed for each species…,” revise “ longevity estimates maximum observed longevity” as desired.",Explicit edit suggestion
249,3-190,3-190_v1_report5802_2@0,"While I think the data themselves are worthy of publication, I don’t think any of the subsequent analysis contributed hugely to the paper.",Weakness
250,3-190,3-190_v1_report5802_2@2,"Unfortunately, neither of these original growth studies presented the model variance, a detailed description of the data, or even any plots of the size at age data!",Weakness
251,3-190,3-190_v1_report5802_2@4,"Personally, I think other information could be more useful, like photographs of the two oldest vertebrae sections for reference.",Implicit edit suggestion
252,3-190,3-190_v1_report5802_3@1,"Firstly, some more background information is required on the tagging study itself.",Explicit edit suggestion
253,3-190,3-190_v1_report5802_3@2,"It is not stated how many sharks were tagged and recaptured over the duration of the whole study, nor is it clear why these seven were chosen specifically (presumably they weren't the only recaptures).",Weakness
254,3-190,3-190_v1_report5802_3@3,"Secondly, I disagree that Fabens’ theoretical method for estimating longevity is the usual method of estimating longevity.",Weakness
255,3-190,3-190_v1_report5802_3@4,I don’t see the value with making comparisons to theoretical longevity later on in the paper and find this confusing.,Explicit edit suggestion
256,3-190,3-190_v1_report5802_3@5,"For example, the ‘theoretical maximum longevities’ of R. terranovae are stated to be 7.1 and 6.9 years for females and males respectively, but Loefer and Sedberry (2003) reported actual longevities of 10 and 9 years.",Explicit edit suggestion
257,30-ARR,30-ARR_v1_review1_3@0,summary_of_weaknesses. - Some experiments don’t add much to the analysis: Duplication (line 493) doesn’t seem like a reasonable baseline to compare to.,Weakness
258,30-ARR,30-ARR_v1_review1_3@1,It merely multiplies the 50 examples without adding any new information.,Weakness
259,30-ARR,30-ARR_v1_review1_3@2,"
-The semi-factual generation on model generated rationale in the first step: the replacement could be done on missing rationales, This will remove the correct rationales form the example.",Implicit edit suggestion
260,30-ARR,30-ARR_v1_review1_3@3,It would be better if the paper address this (even simply pointing out that it’s not an issue).,Implicit edit suggestion
261,30-ARR,30-ARR_v1_review1_3@4,"
-Some annotation protocals and their encessities are not explained.",Weakness
262,30-ARR,30-ARR_v1_review1_4@0,"comments,_suggestions_and_typos. - Typo line 1: rational-centric → rationale-centric -Was the notation in line 284 intentional? Would look nicer to use $x'$ instead.",Explicit edit suggestion
263,30-ARR,30-ARR_v1_review1_4@1,"
-Not sure if *inductive bias* is the right term to characterize what the annotation captures.",Weakness
264,30-ARR,30-ARR_v1_review2_3@0,"summary_of_weaknesses. - The proposed approach is not fully automatic, and still requires human annotations for identifying rationales and correcting errors from the static semi-factual generation phase.",Weakness
265,30-ARR,30-ARR_v1_review2_3@1,"While this annotation effort could be less significant that other data augmentation methods, it still presents a significant cost overhead.",Weakness
266,30-ARR,30-ARR_v1_review2_3@2,"
-It is not clear how to generalize this approach to other NLP tasks aside from sentiment analysis and text classification.",Weakness
267,30-ARR,30-ARR_v1_review2_3@3,"For instance, it is not clear how to generalize this approach to other sequence-to-sequence tasks like machine translation.",Weakness
268,30-ARR,30-ARR_v1_review2_3@4,"
-Identifying rationales is not a simple problem, specifically for more complicated NLP tasks like machine translation.",Weakness
269,30-ARR,30-ARR_v1_review2_4@2,"Figure 2 is a bit cluttered and the ""bold"" text is hard to see, perhaps another color or a bigger font could help in highlighting the human identified rationales better.",Explicit edit suggestion
270,334-ARR,334-ARR_v1_review1_3@1,"Some minor considerations: 1. It would be informative to users if authors reported sensitivity of their experiments to hyper-parameters, along with standard deviations on their numbers.
",Implicit edit suggestion
271,334-ARR,334-ARR_v1_review1_3@2,"2. The presented error analyses are anecdotal, and might not be reflective of the overall behavior of the system.",Weakness
272,334-ARR,334-ARR_v1_review1_3@3,It would strengthen this paper if authors further explored systematic biases in their datasets and models (e.g. how does accuracy/F1 vary by district?),Implicit edit suggestion
273,334-ARR,334-ARR_v1_review1_4@1,Footnote marks should come after punctuation.,Implicit edit suggestion
274,39-ARR,39-ARR_v1_review1_3@10,"Or maybe it is fixed since each sample already has a ground truth $e_{i}$. If it is the former case, I think it might be a little weird to predict the p(s) and p(t) which the paper uses to draw samples, because p(s) and p(t) are already given since $e_{i}$s are known for all samples?  ",Weakness
275,39-ARR,39-ARR_v1_review1_3@11,4. The authors did not justify why Optimal Transport (OT) is used and did not elaborate on what are OT's advantages.,Weakness
276,39-ARR,39-ARR_v1_review1_3@14,"It is worth comparing OT with say, Euclidean distance, KL divergence as a side experiment.",Implicit edit suggestion
277,39-ARR,39-ARR_v1_review1_3@16,5. It is not known if the OT sample selection process in 2.4.3 only runs once or runs iteratively as EP module is updated during the training steps.,Weakness
278,39-ARR,39-ARR_v1_review1_3@18,It will be much easier for readers to know the whole process if more details and a flow chart can be added.,Implicit edit suggestion
279,39-ARR,39-ARR_v1_review1_3@22,Why only LD benefits from seeing examples containing events?,Weakness
280,39-ARR,39-ARR_v1_review1_3@23,Do the text encoders also benefit from seeing these examples?,Weakness
281,39-ARR,39-ARR_v1_review1_3@26,"I was curious if the authors could do BERT-CRF + MLM + EP like in equation (10), can the performance be better than ALA?",Weakness
282,39-ARR,39-ARR_v1_review1_3@5,"Thus the method is not totally using pure ""unlabelled"" target language data as the paper claims.",Weakness
283,39-ARR,39-ARR_v1_review1_3@7,"To make fair comparisons with the baselines, I think baseline methods BERT-CRF in section 3.2 and the BERT-CRF+MLM in 3.4 should also see $e_{i}$ labels.  ",Explicit edit suggestion
284,39-ARR,39-ARR_v1_review1_3@8,"2. Also concerning $e_{i}$ in weakness point 1 above, it is not known how $e_{i}$ and $e_{i}$'s distributions look like at all.",Weakness
285,39-ARR,39-ARR_v1_review1_3@9,"I could only guess $e_{i}$ is 0,1 binary variables? Since all SRC and TRG data comes from Cross-Lingual Event Detection datasets, maybe most samples do have an event trigger and thus most $e_{i}$s equal 1.  3. It is confusing in line 339: s$\sim$p(s) and t$\sim$p(t). Do p(s) and p(t) here the ones calculated and updated in equation (6-7) in lines 369-370?",Explicit edit suggestion
286,39-ARR,39-ARR_v1_review1_4@1,1. The writing is not fluent enough.,Weakness
287,39-ARR,39-ARR_v1_review1_4@2,"Some typos and awkward/redundant/unnatural sentences such as lines 019, 041-043. 
",Explicit edit suggestion
288,39-ARR,39-ARR_v1_review1_4@4,"It might be beneficial to discuss WGAN a bit or even add WGAN as a baseline method. 
",Implicit edit suggestion
289,39-ARR,39-ARR_v1_review1_4@5,"3. The paper should elaborate on OT in both the introduction and the methodology parts and should provide more details and justifications for OT. 
",Explicit edit suggestion
290,39-ARR,39-ARR_v1_review1_4@8,"What is the benefit of L2 distance? 
",Weakness
291,59-ARR,59-ARR_v1_review1_3@1,"Thus, the authors need to clearly show why the performances in two datasets are different.",Implicit edit suggestion
292,59-ARR,59-ARR_v1_review1_3@3,"“ However, it might be better to show the performances of these methods on the MedLAMA dataset, in order to show the validity of the MedLAMA dataset.",Implicit edit suggestion
293,59-ARR,59-ARR_v1_review1_3@4,"
-Additionally, it seems to be an unfair comparison because only the contrastive-probe method was additionally pre-trained for the cloze-style task.",Weakness
294,59-ARR,59-ARR_v1_review1_4@0,"comments,_suggestions_and_typos. - It would be better that comparison with BioLAMA is placed in the main result, not in the Appendix.",Explicit edit suggestion
295,59-ARR,59-ARR_v1_review2_3@1,The technical novelty is rather lacking.,Weakness
296,59-ARR,59-ARR_v1_review2_4@0,"comments,_suggestions_and_typos. - You mention that you only select 10 answers from all correct answers, why do you do this? Does this affect the underestimation of the performances?
-Do you think generative PLMs that are pretrained on biomedical texts could be more suitable for solving the multi-token problem?",Implicit edit suggestion
297,59-ARR,59-ARR_v1_review3_3@2,Why is this hyper-parameter not optimized?,Weakness
298,59-ARR,59-ARR_v1_review4_3@1,"I only have minor concerns with this paper: -The authors investigate only one prompt per relation which may be suboptimal -Supervised prompting methods were excluded from the evaluation, but they might provide interesting points of comparison",Implicit edit suggestion
299,7-1030,7-1030_v1_report36742_10@4,"In the map there were some studies which focused on assessing the impact of funded research, eg.",Weakness
300,7-1030,7-1030_v1_report36742_11@0,"10. The sentence on page 3 beginning “A recent systematic review found “suggestive” evidence that funding peer review can have an anti-innovation bias 2 and that innovation and risk may not often be sufficiently addressed in review feedback 7 ” needs re-wording as not only is the Guthrie et al paper a non-systematic review, but the second reference cited in that sentence by Gallo et al is a survey (i.e. not a review at all).",Explicit edit suggestion
301,7-1030,7-1030_v1_report36742_12@0,11. Suggest amending the sentence on page 3 “Many studies using large sample sizes found either no association or only a weak association between the mean score and the VOLUME of citations of subsequent publications”,Explicit edit suggestion
302,7-1030,7-1030_v1_report36742_2@2,This does not appear to take account of varying time since the projects were funded (i.e. 7 year gap between projects that were funded from 1999 to 2006).,Weakness
303,7-1030,7-1030_v1_report36742_2@4,"We therefore suggest a more meaningful outcome measure would be either the number of citations per year per study, or the total number of citations in, say, the 5 years following the final project report, or some other standardised project milestone.",Implicit edit suggestion
304,7-1030,7-1030_v1_report36742_2@5,Adding the review year to the model does not seem to adequately control for this factor (though qualified statistical advice is needed to clarify this).,Weakness
305,7-1030,7-1030_v1_report36742_3@1,Was there any variation in study designs within this field that might also change the expected number of citations (e.g. systematic reviews may attract more citations than primary experimental studies in some fields)?,Implicit edit suggestion
306,7-1030,7-1030_v1_report36742_4@1,"So, it would be useful to plot the standard deviation of the citations against the standard deviation of the peer review score.",Implicit edit suggestion
307,7-1030,7-1030_v1_report36742_5@0,"4. As well as using multiple imputation to correct for missing data, a sensitivity analysis in which cases with missing data are omitted would be useful.",Implicit edit suggestion
308,7-1030,7-1030_v1_report36742_6@0,"5. Some measure of the model fit would be useful, eg.",Implicit edit suggestion
309,7-1030,7-1030_v1_report36742_7@0,6. There was a wide variation in the number of reviewers per article from 2 to 18.,Weakness
310,7-1030,7-1030_v1_report36742_8@0,7. Fractional polynomial model results are only presented for the best fitting model with the smallest deviance.,Weakness
311,7-1030,7-1030_v1_report36742_8@1,"This is acceptable in principle, but it would be useful for the authors to comment on whether there was any variation in the results according to the other fractional polynomial transformations (if available).",Implicit edit suggestion
312,7-1030,7-1030_v1_report36742_9@0,8. Reference is made in the first paragraph to a “recent systematic review” by Guthrie et al (2018 1 ) (and also in the third paragraph).,Weakness
313,7-1030,7-1030_v1_report36742_9@2,"We would suggest using the tern “non-systematic review”, or just “literature review”.",Explicit edit suggestion
314,7-1030,7-1030_v1_report37261_11@0,"Thirdly, it would be valuable to understand what sorts of disagreement exist in the scoring of all the applications (both successful and unsuccessful).",Implicit edit suggestion
315,7-1030,7-1030_v1_report37261_12@0,"The above questions only suggest that there is further complexity here that needs to be explored, with more complex, higher power studies.",Weakness
316,7-1030,7-1030_v1_report37261_14@0,- It might be easier to read the paper if scores were consistently referred to as best/worst and better/worse – using ‘higher' is confusing when better scores are lower.,Implicit edit suggestion
317,7-1030,7-1030_v1_report37261_1@2,"However, this intuitive notion has yet to be put to the test, until the current study, which is a welcome contribution.",Weakness
318,7-1030,7-1030_v1_report37261_2@0,"The experimental design and statistical analysis are compelling for an initial study, though as the authors note further complications could be addressed in later work.",Implicit edit suggestion
319,7-1030,7-1030_v1_report37261_3@0,"Given the prevailing policy and academic discussions the negative result is surprising and it rules out some suggested approaches to reform of the grant allocation system; however, the dataset limits the generality of the conclusions that can be drawn (through no fault of the authors) – the key limitation being that only 11% of applications can be analysed (the funded ones), a set that is heavily skewed towards the top scoring applications.",Weakness
320,7-1030,7-1030_v1_report37261_4@0,"For example, as shown in Figure 4 there is plenty of potential for SD to be associated with increased citation, but not enough data to tell.",Explicit edit suggestion
321,7-1030,7-1030_v1_report37261_5@0,"Through its analysis, the study forces a refinement of the question of what sorts of disagreements (in extent and driven by what underlying logics) should be considered useful indicators.",Implicit edit suggestion
322,7-1030,7-1030_v1_report37261_6@0,"Firstly it would be valuable to understand the reasons and logics behind the disagreements that arise between reviewers, from the fact that ""disagreements between reviewers about an application can stem from different sources"".",Explicit edit suggestion
323,7-1030,7-1030_v1_report37261_7@0,"Secondly, we could reframe the question to address the lack of information on unfunded applications by asking how can funding best be allocated if the amount of funding available is cut by 50%.",Implicit edit suggestion
324,7-1030,7-1030_v1_report37261_8@0,"To test this, we reanalysed the data provided by the authors with the following question: assuming only half the funding was available, which of the following selection methods would perform better?",Weakness
325,7-1235,7-1235_v1_report37844_3@0,- The manuscript will benefit from editing by a native English speaker. Phrasing and grammar are uncommon at times.,Implicit edit suggestion
326,7-1235,7-1235_v1_report37844_3@1,"- Reference 5 is referred as “updated TCGA clinical data”. This is incorrect. The paper referred to is an interpretation of the clinical data in the context of the Pan Can Atlas effort by the TCGA, but it is NOT the official clinical data. It is a derived product of it.",Explicit edit suggestion
327,7-1235,7-1235_v1_report38311_2@0,"1. As noted by reviewer 1, the manuscript should be carefully proofread for typographical errors and standard english grammar.",Implicit edit suggestion
328,7-1235,7-1235_v1_report38311_2@1,"For example: the common R package ggplot2 is referred to in the text as ""ggplots2"".",Explicit edit suggestion
329,7-1235,7-1235_v1_report38311_3@2,A plan for updating the packaged TCPA and survival data should be included in the manuscript (and implemented in the package).,Implicit edit suggestion
330,7-1235,7-1235_v1_report38311_3@3,"Automating this process as a function in the package would be ideal, but detailed instructions for updating the packaged data for local installations would be acceptable as well.",Implicit edit suggestion
331,7-1306,7-1306_v1_report37288_4@0,"- The current manuscript focuses on user experience through a standardized analysis pattern, this is done well by the publication. The majority of the analysis and data visualization is modeled after current trends but two areas of improvement exist. The use of a Wilcoxon-Rank-Sum test to test one label verse all other labels is useful to researchers and is something offered through current analysis packages. There has been work that has improved the way differential expression is performed, SCDE and MAST are packages that allow more complex models or comparisons that go beyond two labels. Of those, at least MAST has shown to be performant and is now available as an option in Seurat. It is rare one will only find two clusters of cells in a single cell transcriptomics study, the extension to more labels should be included.",Implicit edit suggestion
332,7-1306,7-1306_v1_report37288_4@1,"- Heatmaps were used in Figure 4a. Although useful when one wants to see the actual data and scalable to an extremely small subsection of genes (here 10), often single cell transcriptomics data is too sparse to fully appreciate patterns when presented in heatmaps (as measurements, when not using summaries) and the numbers of observations in these studies can go to more than a million; making this visualization not scalable. Dot plots should be the first plot offered in these use cases with the ability to go to heatmaps to see the actual data if needed.",Implicit edit suggestion
333,7-1306,7-1306_v1_report37288_4@2,"- Standardization and approachable user experiences are big wins for our community, but this has to be coupled with an underlying methodology that is scalable to the sizes of data we see and expect to see the near future. Data sets of over a million already exist, how does this solution scale to data in the thousands, tens of thousands, and so on. It is essential the manuscript include benchmarking so users can understand if working with their data set in this environment is possible.",Implicit edit suggestion
334,7-1306,7-1306_v1_report37288_4@3,"- Please list if there are any costs (or that there are no costs if that is, in fact, true) with running analysis in the notebooks. Must one always download the notebooks and run them on their own systems or is the running of analysis hosted?",Implicit edit suggestion
335,7-1306,7-1306_v1_report37288_6@0,- It is interesting that Jupyter Notebooks are leveraged to target an audience that can not program given Jupyter notebooks are a common environment for developers. That being said the interfaces given to the users do seem to be appropriate user experiences for those who prefer working through UIs. Does this work also include the ability for someone to edit and update the code of the GenePattern Notebook if they are a developer? Such a functionality would extend the usability of the notebooks by supporting an additional type of user.,Implicit edit suggestion
336,7-1306,7-1306_v1_report37288_6@1,"- In Figure 1 kernel density estimations with a data plotted below the density are used instead of violin plots with overplotted data. Although I appreciate the same information is being presented in both plots (hence this being a minor comment), it would be helpful to use violin plots instead of the current plots. First, violin plots are de facto (and the GenePattern plot does not add information) and secondly, outliers are given more presence in violin plots (data is plotted directly on the plot and the tail of the plot to higher values is not hidden by an axis). This is important given outlier are explicitly the focus of figure 1.",Weakness
337,7-1306,7-1306_v1_report40612_11@2,I recommend that the author regularly update this template with methods as they become available in that library.,Implicit edit suggestion
338,7-1306,7-1306_v1_report40612_11@4,"I recommend the t-test_overestim_var from Scanpy for something fast and logreg for something more accurate, but all the options should be made available and the defaults from Scanpy should be the defaults for you.",Implicit edit suggestion
339,7-1306,7-1306_v1_report40612_4@0,There are some significant usability issues with the notebook as it stands that will need to be remedied for it to be useful to a broad audience.,Implicit edit suggestion
340,7-1306,7-1306_v1_report40612_6@0,The author should make it possible to upload 10X files properly.,Implicit edit suggestion
341,7-1306,7-1306_v1_report40612_7@0,"- Interactive sliders are nice, much better than setting cutoffs by number, seeing how values change, and iterating. For the cutoffs on nGene and nCounts, the sliders are not aligned with the plot and lack numerical axes or numbers for current values. These should be displayed directly under the plots so that one can slide them to align with suggested cutoffs at various values of sigma, and should also display the numerical value currently selected.",Implicit edit suggestion
342,7-1306,7-1306_v1_report40612_8@0,"(Also, the suggestion that 3\sigma is an appropriate cutoff is based on the assumption of a normal distribution, which does not hold for this data, especially for 10X.)",Implicit edit suggestion
343,7-1306,7-1306_v1_report40612_9@0,"- The notebook bakes in certain analysis choices, such as regressing out % mito, which are not statistically sound. For the problems with regressing out, see this [blog post](http://ds.czbiohub.org/blog/Regression-Hazards/). I suggest that such ""corrections"" be removed. For a simple, sound analysis, see the workflow and language we used for Tabula Muris [Annotation Vignette](https://github.com/czbiohub/tabula-muris/blob/master/00_data_ingest/02_tissue_analysis_rmd/Organ_Annotation_Vignette.Rmd)",Implicit edit suggestion
344,7-1306,7-1306_v1_report40612_9@3,- The tSNE tab for visualizing gene expression did not load when clicked on.,Weakness
345,7-1306,7-1306_v1_report40612_9@4,"- ""Conversely, reads for multiple cells may be captured together, artificially inflating the number of reads for a single cell. "" Doublet detection is indeed a tricky problem. There are [methods](https://www.biorxiv.org/content/early/2018/07/19/352484) to address it, but this notebook does not implement them.",Explicit edit suggestion
346,7-1306,7-1306_v1_report40612_9@5,"- Depending on the size of the data, each step may take seconds to hours. For a naive user, they may not know how long to wait and at some point anyone would give up. It would be very useful if the author did some calibration for each step (running sample datasets of various sizes) so that an estimated time to completion could be displayed.",Implicit edit suggestion
347,7-1641,7-1641_v1_report39449_10@0,"If indeed they are barriers, are these barriers based on the two surveys and workshop or do they include research conducted by other groups? If the latter, I believe there are more barriers such as costs and ownership issues.",Explicit edit suggestion
348,7-1641,7-1641_v1_report39449_11@2,Please provide reference(s).,Explicit edit suggestion
349,7-1641,7-1641_v1_report39449_11@3,Did the authors conduct these interviews?,Explicit edit suggestion
350,7-1641,7-1641_v1_report39449_13@0,Paragraph 1 – “…there is very low compliance with these policies”. How did the authors get this information? Please provide references if appropriate.,Explicit edit suggestion
351,7-1641,7-1641_v1_report39449_14@0,"Paragraph 2 - “It appears the main barrier to sharing is not technical but cultural,…” How did the authors get this information? Please provide references if appropriate.",Explicit edit suggestion
352,7-1641,7-1641_v1_report39449_15@1,What is the funders’ specific role?,Explicit edit suggestion
353,7-1641,7-1641_v1_report39449_16@0,Suggest including a “Conclusions” section.,Explicit edit suggestion
354,7-1641,7-1641_v1_report39449_3@0,"First paragraph, first sentence - Who is “we”? The three authors of this paper?",Explicit edit suggestion
355,7-1641,7-1641_v1_report39449_4@2,Perhaps this should be in the Introduction.,Explicit edit suggestion
356,7-1641,7-1641_v1_report39449_5@0,Third paragraph – Suggest briefly stating the three main areas found in the survey.,Explicit edit suggestion
357,7-1641,7-1641_v1_report39449_6@0,Fourth and fifth paragraph - Please tell us a little bit more about the third report and the workshop.,Explicit edit suggestion
358,7-1641,7-1641_v1_report39449_8@0,Does this refer to the findings of the two surveys and workshop?,Explicit edit suggestion
359,7-1641,7-1641_v1_report39449_9@1,Do they summarise the barriers to data sharing?,Explicit edit suggestion
360,7-1641,7-1641_v1_report40329_10@0,"How many people interviewed? And who were they? Was this semi-structured/structured interviews, and how did you interpret the transcripts?",Implicit edit suggestion
361,7-1641,7-1641_v1_report40329_10@1,Providing some context will help determine the value of the comments and confidence about the interpretation of the interviews.,Weakness
362,7-1641,7-1641_v1_report40329_11@0,"Concluding section - Ethical issues may also need to be reviewed, are participants made aware at time of consent that the data collected for the specific study can later be used [secondary data] for other studies?",Explicit edit suggestion
363,7-1641,7-1641_v1_report40329_12@0,"In terms of publicly accessible data management plans, is this the role of the funder and/or the researchers? If research protocols are 'meant' to be in the public domain then data sharing and statistical analysis plans should be as well? All funders approach these areas differently, so caveats around this may need to be mentioned.",Implicit edit suggestion
364,7-1641,7-1641_v1_report40329_12@1,"Possibly further consideration of these policies and how they could be standardised across funders, although consideration of early phase research to phase three studies may be required.",Implicit edit suggestion
365,7-1641,7-1641_v1_report40329_13@0,Is this applicable to industry and pharma? How does this relate to them considering the sensitivity of data? How does this relate to AllTrials? (http://www.alltrials.net/),Implicit edit suggestion
366,7-1641,7-1641_v1_report40329_14@0,"How does data sharing fit into the wider agenda of transparency, accountability and credibility of research? Stating the larger viewpoint may strengthen the paper.",Implicit edit suggestion
