doc_name,node_ix_src,text_src,edits,edits_count
21-ARR,21-ARR_edit_summary_1@0,"In the introduction section, the citation year from Hinton et al. was modified in a sentence.",21-ARR_v2_4@1===21-ARR_v1_4@1,1
21-ARR,21-ARR_edit_summary_1@1,A claim about Metadistilâ€™s ability of parameter adjusting was modified.  ,21-ARR_v2_9@5===21-ARR_v1_9@5,1
21-ARR,21-ARR_edit_summary_1@2,"In the related work section, a citation from Xu et al., & Xu & McAuley was added, and the citation year of Hinton et al. was modified again.  ",21-ARR_v2_11@0===21-ARR_v1_11@0;21-ARR_v2_11@2===21-ARR_v1_11@2,2
21-ARR,21-ARR_edit_summary_1@3,"Also, two sentences were modified to fix grammatical mistakes.",21-ARR_v2_12@10===21-ARR_v1_12@10;21-ARR_v2_12@6===21-ARR_v1_12@6,2
21-ARR,21-ARR_edit_summary_1@4,"In one sentence here, the conjunction was modified to improve clarity.",21-ARR_v2_13@3===21-ARR_v1_13@3,1
21-ARR,21-ARR_edit_summary_1@5,"In the knowledge distillation section, the abbreviation form of mean squared error was added to improve clarity.",21-ARR_v2_20@2===21-ARR_v1_20@2,1
21-ARR,21-ARR_edit_summary_1@6,One grammar error in a sentence was fixed in the learning to tech section.,21-ARR_v2_34@2===21-ARR_v1_29@2,1
21-ARR,21-ARR_edit_summary_1@7,One fact about the quiz set parameters of students and teachers was added by the authors and one claim regarding the reasoning of using this quiz set strategy was added.,21-ARR_v2_40@1===nan;21-ARR_v2_40@2===nan,2
21-ARR,21-ARR_edit_summary_1@8,Lastly two sentences were merged and simplified to improve clarity.,21-ARR_v2_40@6===21-ARR_v1_35@4;21-ARR_v2_40@6===21-ARR_v1_35@5,2
21-ARR,21-ARR_edit_summary_1@9,In the experimental setup section 4 sentences were added explaining some facts about what authors reported from different experiments and what metric was used in them. One fact was added in the limitations section which compared the results of the authors approach with Sun et al.â€™s performance of PKD.,21-ARR_v2_44@3===nan;21-ARR_v2_44@4===nan;21-ARR_v2_44@5===nan;21-ARR_v2_44@6===nan;21-ARR_v2_63@3===nan,5
21-ARR,21-ARR_edit_summary_1@10,The discussion section was greatly changed starting with the addition of a fact about the Metadistill approach.,21-ARR_v2_67@0===nan,1
21-ARR,21-ARR_edit_summary_1@11,One fact from Hooker et al. about the compression issue was added.,21-ARR_v2_67@1===nan,1
21-ARR,21-ARR_edit_summary_1@12,Right after that one sentence claiming that this issue was not significant in authors experiments was added.,21-ARR_v2_67@2===nan,1
21-ARR,21-ARR_edit_summary_1@13,"In the next paragraph, two more sentences explaining some facts about Metadistil were added.",21-ARR_v2_68@0===nan;21-ARR_v2_68@1===nan,2
21-ARR,21-ARR_edit_summary_1@14,"After that, some facts from the papers table 4 were explained in a few sentences about their teacher experiment data for Metadistil.",21-ARR_v2_68@2===nan;21-ARR_v2_68@3===nan;21-ARR_v2_68@4===nan;21-ARR_v2_68@5===nan;21-ARR_v2_68@6===nan,5
21-ARR,21-ARR_edit_summary_1@15,"In the next paragraph, authors concluded why the model with the highest accuracy was not the best teacher with 5 added sentences explaining their data from figure 5.",21-ARR_v2_70@0===nan;21-ARR_v2_70@1===nan;21-ARR_v2_70@2===nan;21-ARR_v2_70@3===nan;21-ARR_v2_70@4===nan,5
21-ARR,21-ARR_edit_summary_1@16,After that two claims from the authors were added claiming the possibilities of the reason for the performance improvement by Metadistil.,21-ARR_v2_71@0===nan;21-ARR_v2_71@1===nan,2
21-ARR,21-ARR_edit_summary_1@17,One authorâ€™s fact about their conduction of analysis for MRPC dataset was added.,21-ARR_v2_71@2===nan,1
21-ARR,21-ARR_edit_summary_1@18,Then one fact was added from Xu et al. about the prediction loyalty.,21-ARR_v2_72@0===nan,1
21-ARR,21-ARR_edit_summary_1@19,After that two more facts were added about the authors finding from their Metadistil experiment.,21-ARR_v2_72@1===nan;21-ARR_v2_72@2===nan,2
21-ARR,21-ARR_edit_summary_1@20,One sentence claiming that the origin of value improvement was not by the students better mimicking the teacher was added.,21-ARR_v2_72@3===nan,1
21-ARR,21-ARR_edit_summary_1@21,One last fact was added which explained how the authors conducted their experiment for the second assumption.,21-ARR_v2_73@0===nan,1
21-ARR,21-ARR_edit_summary_1@22,"Finally, a claim by the author was deleted which expressed their interest in future research on this domain from the knowledge learnt from these experiments.",nan===21-ARR_v1_58@1,1
169-ARR,169-ARR_edit_summary_1@0,"In the abstract, few minor edits were done to improve the clarity of the sentence.",169-ARR_v2_2@2===169-ARR_v1_2@2,1
169-ARR,169-ARR_edit_summary_2@0,"In the introduction, a clarity change was administered where repeated wordings from question-annotator and answer-annotator was changed to question-and answer-annotator.",169-ARR_v2_8@3===169-ARR_v1_8@3,1
169-ARR,169-ARR_edit_summary_2@1,"At the end of this section, the website where the codes from the study was made publicly available was added.",169-ARR_v2_9@4===169-ARR_v1_9@4,1
169-ARR,169-ARR_edit_summary_3@0,"In learning and interaction scenario, a fact was added about the aim of the learner.",169-ARR_v2_13@1===nan,1
169-ARR,169-ARR_edit_summary_3@1,"Following that, a grammar change was made where users were replaced with user and necessary verbs were changed.",169-ARR_v2_18@2===169-ARR_v1_15@2,1
169-ARR,169-ARR_edit_summary_3@2,A fact change was done where the additional information about the learner regret was deleted and equation 1 was added.,169-ARR_v2_38@1===169-ARR_v1_34@1,1
169-ARR,169-ARR_edit_summary_3@3,How regret is calculated in the study was deleted.,nan===169-ARR_v1_34@3,1
169-ARR,169-ARR_edit_summary_3@4,"There was a clarity change following that, optimal model (i.e., policy) was replaced by optimal policy.",169-ARR_v2_13@2===169-ARR_v1_34@2,1
169-ARR,169-ARR_edit_summary_3@5,"And finally, additional information about cumulative regret at time T being computed with respect to the optimal policy was updated.",169-ARR_v2_13@3===169-ARR_v1_34@4,1
169-ARR,169-ARR_edit_summary_4@0,"In simulation setup, majority of the changes were grammatical where first one was changing 'to all be bad' to 'to be all bad'.",169-ARR_v2_40@1===169-ARR_v1_39@1,1
169-ARR,169-ARR_edit_summary_4@1,The second grammar edit was from plural to singular (from sections to section).,169-ARR_v2_40@2===169-ARR_v1_39@2,1
169-ARR,169-ARR_edit_summary_4@2,Third was an addition of a preposition where fourth was the form of comparative (from more strict to stricter).,169-ARR_v2_41@1===169-ARR_v1_40@1;169-ARR_v2_41@2===169-ARR_v1_40@2,2
169-ARR,169-ARR_edit_summary_4@3,Two changes were made where the wording of a number was replaced with the number itself i.e. from four to 4 and from three to 3.,169-ARR_v2_45@3===169-ARR_v1_45@3;169-ARR_v2_46@3===169-ARR_v1_46@3,2
169-ARR,169-ARR_edit_summary_4@4,The final grammar change was an addition of a punctuation mark in 1024.,169-ARR_v2_45@2===169-ARR_v1_45@2,1
169-ARR,169-ARR_edit_summary_4@5,Fact was added about MRQA simplifying datasets.,169-ARR_v2_43@1===nan,1
169-ARR,169-ARR_edit_summary_4@6,And a sentence was re-written about why dropout was turned off.,169-ARR_v2_46@1===169-ARR_v1_46@1,1
169-ARR,169-ARR_edit_summary_5@0,"In online learning, a clarity change was made where feedback collection was replaced by feedback is observed.",169-ARR_v2_49@2===169-ARR_v1_49@2,1
169-ARR,169-ARR_edit_summary_5@1,A typo was also corrected (from The to this).,169-ARR_v2_50@5===169-ARR_v1_50@5,1
169-ARR,169-ARR_edit_summary_5@2,Two claims were deleted about what might happen when one start with weaker initial models and learning with a higher noises where the second claim was about what happens when online perturbation-free simulation fails.,nan===169-ARR_v1_51@2;nan===169-ARR_v1_51@3,2
169-ARR,169-ARR_edit_summary_5@3,The third deletion was a fact about the learning progression across datasets.,nan===169-ARR_v1_51@4,1
169-ARR,169-ARR_edit_summary_5@4,Rest two deletion were claims where first claim was about training transformer-based models and the second claim was about non-standard training procedure.,nan===169-ARR_v1_52@0;nan===169-ARR_v1_52@1,2
169-ARR,169-ARR_edit_summary_6@0,"In offline learning, the claim being transformer based model best optimised with a linear learning rate has been changed to transformer based model being better optimised with a linear learning rate.",169-ARR_v2_53@3===169-ARR_v1_55@3,1
169-ARR,169-ARR_edit_summary_6@1,"Towards the end of the section, a fact about how regret numbers are averaged was added and a claim about the reasons as to why online learning displays lower regret was added.",169-ARR_v2_54@1===nan;169-ARR_v2_54@3===nan,2
169-ARR,169-ARR_edit_summary_7@0,"In domain adaptation, the target domains has been further intensified with the addition of the word new.",169-ARR_v2_56@0===169-ARR_v1_57@0,1
169-ARR,169-ARR_edit_summary_7@1,"Two facts were deleted, first was about the study reporting experiments with online learning and second, the location where offline adaptation experiments were discussed.",nan===169-ARR_v1_57@3;nan===169-ARR_v1_57@4,2
169-ARR,169-ARR_edit_summary_7@2,"Following that, a claim was added about the reason why final performance is better with SQUAD-initialized model.",169-ARR_v2_58@4===nan,1
169-ARR,169-ARR_edit_summary_7@3,"Next, a fact was added about how on SearchQA, learning with SQUAD-initialized model performs worse.",169-ARR_v2_58@5===nan,1
169-ARR,169-ARR_edit_summary_7@4,"At the end of this section, a fact was deleted about NewsQA and how Trischler et al. report human performance.",nan===169-ARR_v1_58@9,1
169-ARR,169-ARR_edit_summary_8@0,"In related work, a citation was added in Neural machine translation (NMT).",169-ARR_v2_60@0===169-ARR_v1_61@0,1
169-ARR,169-ARR_edit_summary_8@1,"Next, a citation was added in the semantics and dialogue along with the citation was deleted.",169-ARR_v2_60@1===169-ARR_v1_61@1,1
169-ARR,169-ARR_edit_summary_8@2,"Following that, fact about implicit human feedback was added.",169-ARR_v2_60@5===nan,1
169-ARR,169-ARR_edit_summary_8@3,"Moreover, a claim was added about the explicit feedback.",169-ARR_v2_60@6===nan,1
169-ARR,169-ARR_edit_summary_8@4,A clarity change has been made where other form of words were used from it seeks to seeking.,169-ARR_v2_61@1===169-ARR_v1_61@6,1
169-ARR,169-ARR_edit_summary_8@5,"In this section, 5 facts were added where the first one was about what Campos et al. (2020) proposed.",169-ARR_v2_61@2===nan,1
169-ARR,169-ARR_edit_summary_8@6,The second fact was about their approaches which relies on multiple samples.,169-ARR_v2_61@3===nan,1
169-ARR,169-ARR_edit_summary_8@7,The third fact was about the research studying improving QA systems via feedback.,169-ARR_v2_61@4===nan,1
169-ARR,169-ARR_edit_summary_8@8,Fourth fact was about author's assumptions in both online and offline setups.,169-ARR_v2_61@5===nan,1
169-ARR,169-ARR_edit_summary_8@9,The fifth fact was about what the study provided.,169-ARR_v2_61@6===nan,1
169-ARR,169-ARR_edit_summary_8@10,"At the end of this section, a clarity change was made with small change in the words from studied in prior work to widely studied.",169-ARR_v2_61@7===169-ARR_v1_61@7,1
169-ARR,169-ARR_edit_summary_9@0,"In conclusion section, four facts were added, first being the location of the limitations of the work.",169-ARR_v2_66@0===nan,1
169-ARR,169-ARR_edit_summary_9@1,"Second, being all six datasets that are found publicly.",169-ARR_v2_66@1===nan,1
169-ARR,169-ARR_edit_summary_9@2,Third was about What section 4 reports and fourth was the location where the codebase is available.,169-ARR_v2_66@2===nan;169-ARR_v2_66@3===nan,2
169-ARR,169-ARR_edit_summary_9@3,A clarity change has been made where the sentence was re-written where using F1 as feedback has been deleted.,169-ARR_v2_67@2===169-ARR_v1_66@2,1
7-738,7-738_edit_summary_1@0,"In the introduction section, factual information about the cost of annual care along with the citation was deleted.",7-738_v2_4@1===7-738_v1_4@1,1
7-738,7-738_edit_summary_1@1,"Next, a sentence with cost of hospitalization was added for acute PE along with the reference number for citation.",7-738_v2_4@2===nan,1
7-738,7-738_edit_summary_1@2,"Following that, another fact about the cost being higher for older patients and women was added.",7-738_v2_4@3===nan,1
7-738,7-738_edit_summary_1@3,Next edit was addition of a conjunction (therefore) to intensify the sentence.,7-738_v2_4@4===7-738_v1_4@2,1
7-738,7-738_edit_summary_2@0,"In the case report, punctuation mark was added.",7-738_v2_6@1===7-738_v1_6@1,1
7-738,7-738_edit_summary_2@1,"Following that, another grammar change was made where preposition was changed from in the visit to on the visit.",7-738_v2_7@0===7-738_v1_7@0,1
7-738,7-738_edit_summary_2@2,The last grammar change in this section was change of a mark - between V1 and V6.,7-738_v2_8@0===7-738_v1_8@0,1
7-738,7-738_edit_summary_2@3,Factual modification was underwent in this sentence with changing of left heart catheterization to cardiac catheterization and supplementary file 1 was added.,7-738_v2_8@3===7-738_v1_8@3,1
7-738,7-738_edit_summary_2@4,Information about the patient lying on the catheterization when the oxygen saturation was dropped was reworded for simplification.,7-738_v2_8@4===7-738_v1_8@4,1
7-738,7-738_edit_summary_2@5,"Following that, information about the amount of supplemental oxygen that helped improve saturation was added.",7-738_v2_8@6===7-738_v1_8@4,1
7-738,7-738_edit_summary_2@6,A factual information about about the condition of the patient at that time was added.,7-738_v2_8@5===nan,1
7-738,7-738_edit_summary_2@7,The sentence about a repeat EKG was simplified.,7-738_v2_8@7===7-738_v1_8@5,1
7-738,7-738_edit_summary_2@8,Information about the new findings from sentence above i.e. low oxygen saturation and a change in the EKG pattern was added to amplify the meaning of the sentence.,7-738_v2_8@8===7-738_v1_8@6,1
7-738,7-738_edit_summary_2@9,The last edit in this section was addition of figure number.,7-738_v2_8@9===7-738_v1_8@6,1
7-738,7-738_edit_summary_3@0,"In the discussion, the fact about only having a cult to possible acute PE was changed to clues.",7-738_v2_17@9===7-738_v1_15@9,1
7-738,7-738_edit_summary_3@1,"Finally, singular form of this dictated was changed to these dictated.",7-738_v2_17@10===7-738_v1_15@10,1
7-697,7-697_edit_summary_1@0,The first edit in this study was a grammar edit where Habetâ€™s method was changed to Habetsâ€™ method which was also repeated in results section once.,7-697_v2_10@1===7-697_v1_10@1;7-697_v2_31@9===7-697_v1_31@9,2
7-697,7-697_edit_summary_2@0,"In the method section, factual information about GO has been added as the reflection of subdivision.",7-697_v2_17@5===7-697_v1_17@5,1
7-697,7-697_edit_summary_3@0,"Further, additional sentence to clarify the meaning of inter-rater E.S. was added.",7-697_v2_23@0===7-697_v1_23@0,1
7-697,7-697_edit_summary_3@1,"Following that, two sentences were linked about the method used in the study measuring validity and reliability and modified to enhance clarity.",7-697_v2_23@1===7-697_v1_23@1;7-697_v2_23@1===7-697_v1_23@2,2
7-697,7-697_edit_summary_4@0,"In the results section, a claim was updated about the Kjellbergâ€™s technique specifying that it is used in vertical mandibular symmetry assessment.",7-697_v2_31@8===7-697_v1_31@8,1
7-697,7-697_edit_summary_4@1,"In the same section, to enhance the clarity, development of TMD was changed to TMD development.",7-697_v2_35@1===7-697_v1_35@1,1
7-697,7-697_edit_summary_4@2,"Following that, a conjunction was deleted to make the sentence grammatically correct.",7-697_v2_35@3===7-697_v1_35@3,1
7-697,7-697_edit_summary_4@3,"Next, factual evidence about radiography analysis was added along with the citation.",7-697_v2_36@3===7-697_v1_36@3,1
7-697,7-697_edit_summary_5@0,"In the conclusion section, verb was changed from is to are for patients.",7-697_v2_38@1===7-697_v1_38@1,1
39-ARR,39-ARR_edit_summary_1@0,"In the abstract, there is a claim change of removing the word ""mishandle"" and instead talking about particular challenges for the models.",39-ARR_v2_2@2===39-ARR_v1_2@2,1
39-ARR,39-ARR_edit_summary_1@1,"There is also a fact change explaining how the adversarial training is optimized, as well as two small wording clarity modifications.",39-ARR_v2_2@5===39-ARR_v1_2@5;39-ARR_v2_2@7===39-ARR_v1_2@8;39-ARR_v2_2@8===39-ARR_v1_2@9,3
39-ARR,39-ARR_edit_summary_2@0,"At the beginning of the introduction, a few more clarity changes are found, along with a grammar change and a sentence split with a fact change about the importance of verb handling for the ED task.",39-ARR_v2_6@0===39-ARR_v1_6@0;39-ARR_v2_6@2===39-ARR_v1_6@2;39-ARR_v2_6@3===39-ARR_v1_6@2;39-ARR_v2_6@4===39-ARR_v1_6@3;39-ARR_v2_6@5===39-ARR_v1_6@4;39-ARR_v2_6@6===39-ARR_v1_6@5,6
39-ARR,39-ARR_edit_summary_2@1,"Later on, there are more minor clarity changes, a change of claim saying that sentences containing events should provide an ED system with relevant information and a fact change regarding the used datasets.",39-ARR_v2_10@3===39-ARR_v1_10@3;39-ARR_v2_10@4===39-ARR_v1_10@4;39-ARR_v2_10@5===39-ARR_v1_10@5;39-ARR_v2_11@0===39-ARR_v1_11@0;39-ARR_v2_12@0===39-ARR_v1_12@0;39-ARR_v2_12@3===39-ARR_v1_12@3;39-ARR_v2_7@3===39-ARR_v1_7@3;39-ARR_v2_7@5===39-ARR_v1_7@5;39-ARR_v2_8@1===39-ARR_v1_8@1,9
39-ARR,39-ARR_edit_summary_2@2,"At the end of the introduction, information about the paper structure was added.",39-ARR_v2_13@0===nan,1
39-ARR,39-ARR_edit_summary_3@0,"There are a few clarity changes in the Problem Definition and Baseline Model sections (mainly wordsmithing), as well as a fact change explaining that the vectors hi are generated by the mBERT encoder.",39-ARR_v2_18@0===39-ARR_v1_17@0;39-ARR_v2_21@0===39-ARR_v1_20@0;39-ARR_v2_23@0===39-ARR_v1_22@0;39-ARR_v2_23@1===39-ARR_v1_22@1;39-ARR_v2_24@1===39-ARR_v1_23@1,5
39-ARR,39-ARR_edit_summary_4@0,"In the Adversarial Language Adaptation section, a third-party fact was changed to add that the adapter modules from Majewska et al. (2021) are task specific.",39-ARR_v2_26@3===39-ARR_v1_25@3,1
39-ARR,39-ARR_edit_summary_5@0,"The Optimal Transport section has a couple of wording clarity changes, and the Problem Formulation has a sentence split into a small clarity change and a fact change of removing author's information.",39-ARR_v2_40@0===39-ARR_v1_40@0;39-ARR_v2_40@1===39-ARR_v1_40@1;39-ARR_v2_46@1===39-ARR_v1_48@1;39-ARR_v2_48@0===39-ARR_v1_48@1,4
39-ARR,39-ARR_edit_summary_5@1,A fact about the labels for target-language data being unavailable was also added.,39-ARR_v2_46@2===nan,1
39-ARR,39-ARR_edit_summary_6@0,There are two clarity changes in the Datasets section.,39-ARR_v2_63@1===39-ARR_v1_63@1;39-ARR_v2_63@2===39-ARR_v1_63@2,2
39-ARR,39-ARR_edit_summary_6@1,"After that, the whole Hyper-parameters section was added, providing author's details about the used hyperparameters.",39-ARR_v2_64@0===nan;39-ARR_v2_65@0===nan;39-ARR_v2_65@1===nan;39-ARR_v2_66@0===nan,4
39-ARR,39-ARR_edit_summary_7@0,"In the Main Results, a few minor clarity changes are found.",39-ARR_v2_69@0===39-ARR_v1_65@1;39-ARR_v2_71@0===39-ARR_v1_66@0;39-ARR_v2_71@1===39-ARR_v1_66@3;39-ARR_v2_72@3===39-ARR_v1_67@3,4
39-ARR,39-ARR_edit_summary_7@1,There are also some fact changes and additions regarding a new used baseline and a citation added.,39-ARR_v2_70@0===39-ARR_v1_66@1;39-ARR_v2_70@1===nan;39-ARR_v2_70@2===nan;39-ARR_v2_70@3===39-ARR_v1_66@2;39-ARR_v2_72@0===39-ARR_v1_67@0,5
39-ARR,39-ARR_edit_summary_7@2,The Ablation Study has only one clarity modification.,39-ARR_v2_74@3===39-ARR_v1_69@3,1
39-ARR,39-ARR_edit_summary_8@0,"The Learned Representation Distances section has one grammar change, while the Access to Labeled Target Data section has an added fact about a figure with experiment results.",39-ARR_v2_84@0===39-ARR_v1_80@0;39-ARR_v2_86@2===nan,2
39-ARR,39-ARR_edit_summary_9@0,"In the Related Work, there are a few citation changes.",39-ARR_v2_93@2===39-ARR_v1_89@2;39-ARR_v2_94@2===39-ARR_v1_91@0,2
39-ARR,39-ARR_edit_summary_9@1,"The conclusion has two minor clarity modifications, as well as the fact change of removing the word ""unlabeled"" regarding the used data and extending information about the methods.",39-ARR_v2_97@0===39-ARR_v1_94@0;39-ARR_v2_97@1===39-ARR_v1_94@1;39-ARR_v2_97@2===39-ARR_v1_94@2,3
39-ARR,39-ARR_edit_summary_9@2,There is also the added claim that their optimization of adversarial training is task independent and can be generalized to other related tasks.,39-ARR_v2_97@3===nan,1
7-1235,7-1235_edit_summary_1@0,The Abstract contains grammatical changes in the first three sentences and the fifth and last sentence have minor clarity modifications.,7-1235_v2_2@0===7-1235_v1_2@0;7-1235_v2_2@1===7-1235_v1_2@1;7-1235_v2_2@2===7-1235_v1_2@2;7-1235_v2_2@4===7-1235_v1_2@4,4
7-1235,7-1235_edit_summary_2@0,The first paragraph of the Introduction section has two grammar changes in the first and fourth sentences.,7-1235_v2_4@0===7-1235_v1_4@0;7-1235_v2_4@3===7-1235_v1_4@3,2
7-1235,7-1235_edit_summary_2@1,The second sentence is modified by omitting “levels” in “RNA levels at a genome-wide level” for clarity.,7-1235_v2_4@1===7-1235_v1_4@1,1
7-1235,7-1235_edit_summary_2@2,And the fifth sentence is a fact changed by replacing “available applications” with “TCGA-based applications”.,7-1235_v2_4@4===7-1235_v1_4@4,1
7-1235,7-1235_edit_summary_3@0,"Next, in the Methods part, the fifth sentence is a fact partly changed from “recently updated TCGA clinical data “to “recent work by Liu, et al.” and in the seventh sentence a word is altered for more clarity.",7-1235_v2_10@4===7-1235_v1_10@4;7-1235_v2_10@6===7-1235_v1_10@6,2
7-1235,7-1235_edit_summary_4@0,"The Implementation section contains two clarity changes; in the in the second sentence of its first paragraph with modifying “ggplots2” to “ggplot2” and the second sentence of the third paragraph by changing “(0.4-1)” to “(v0.4-1)”. Also, there are grammar changes in the fourth and the pre-last sentences of the third paragraph as well as the second sentence of the fourth paragraph.",7-1235_v2_14@1===7-1235_v1_14@1;7-1235_v2_16@1===7-1235_v1_16@1;7-1235_v2_16@3===7-1235_v1_16@3;7-1235_v2_16@7===7-1235_v1_16@7;7-1235_v2_19@1===7-1235_v1_19@1,5
7-1235,7-1235_edit_summary_5@0,"Further, in the Use Case part, there are two grammatical changes in the first sentence of the first and the second sentence of the last paragraphs.",7-1235_v2_21@0===7-1235_v1_21@0;7-1235_v2_26@1===7-1235_v1_26@1,2
7-1235,7-1235_edit_summary_5@1,"There are three fact modifications too; the third sentence of the second paragraph about the division of samples, the third sentence of the third paragraph about examining the proportion of samples in the high and low protein groups followed by adding “(p-value ? 0.05)” to the next sentence.",7-1235_v2_22@3===7-1235_v1_22@3;7-1235_v2_23@2===7-1235_v1_23@2;7-1235_v2_23@3===7-1235_v1_23@3,3
7-1235,7-1235_edit_summary_6@0,"Finally, the Conclusion section contains a grammar change in its fourth sentence.",7-1235_v2_30@3===7-1235_v1_30@3,1
156-ARR,156-ARR_edit_summary_1@0,Authors deleted claim statement about the possible influence of their work on the future research.,nan===156-ARR_v1_10@0,1
156-ARR,156-ARR_edit_summary_1@1,After that grammar change was made as authors added the numbering.,156-ARR_v2_10@0===156-ARR_v1_10@1,1
156-ARR,156-ARR_edit_summary_2@0,"In the ""Decoder"" Section authors added the factual statement about the n-stream self-attention mechanism.",156-ARR_v2_20@1===nan,1
156-ARR,156-ARR_edit_summary_3@0,"Fact sentence about the obtaining of the training samples was added in the ""Pre-training Corpus"".",156-ARR_v2_68@2===nan,1
156-ARR,156-ARR_edit_summary_3@1,Authors added four fact sentences explaining two methods that they adopted to accelerate the training process and accommodate GPU memory limitations.,156-ARR_v2_69@0===nan;156-ARR_v2_69@1===nan;156-ARR_v2_69@2===nan;156-ARR_v2_69@3===nan,4
156-ARR,156-ARR_edit_summary_4@0,"In the ""Main Results"" Section authors corrected factual infomation about the tables with the models' results.",156-ARR_v2_86@0===156-ARR_v1_83@0,1
156-ARR,156-ARR_edit_summary_5@0,Authors deleted fact sentence about the combination of TurnAPE and RoleAPE.,nan===156-ARR_v1_96@0,1
156-ARR,156-ARR_edit_summary_5@1,Claim statement about absolute and relative position embeddings was deleted.,nan===156-ARR_v1_96@1,1
156-ARR,156-ARR_edit_summary_6@0,Fact correction of the citation was made.,156-ARR_v2_105@1===156-ARR_v1_103@1,1
156-ARR,156-ARR_edit_summary_7@0,In the conclusion authors deleted claim about different ethical restrictions.,nan===156-ARR_v1_108@0,1
156-ARR,156-ARR_edit_summary_7@1,They deleted three facr sentences about the availability of the data and other dialog corpus used.,nan===156-ARR_v1_109@0;nan===156-ARR_v1_109@1;nan===156-ARR_v1_109@2,3
156-ARR,156-ARR_edit_summary_7@2,Claim and fact statements about the possible bias in their corpus and its' limitation were deleted.,nan===156-ARR_v1_110@0;nan===156-ARR_v1_110@1,2
156-ARR,156-ARR_edit_summary_7@3,Instead authors added two fact sentences the purpose of the paper.,156-ARR_v2_109@0===nan;156-ARR_v2_109@1===nan,2
156-ARR,156-ARR_edit_summary_7@4,Also two claim sentences about the effectiveness and adavntages of the model were added.,156-ARR_v2_109@3===nan;156-ARR_v2_109@4===nan,2
156-ARR,156-ARR_edit_summary_7@5,Clarity change was made and this sentence was moved to another part of the paper.,156-ARR_v2_87@2===156-ARR_v1_111@2,1
156-ARR,156-ARR_edit_summary_7@6,"Two fact sentences about the results presented in Tables 7,8 and 9 were deleted.",nan===156-ARR_v1_112@0;nan===156-ARR_v1_112@1,2
157-ARR,157-ARR_edit_summary_1@0,"In the Related Work, a couple of citations were changed and there was a minor grammar modification.",157-ARR_v2_7@2===157-ARR_v1_7@2;157-ARR_v2_7@4===157-ARR_v1_7@4;157-ARR_v2_8@4===157-ARR_v1_8@4,3
157-ARR,157-ARR_edit_summary_2@0,The Persona Mapping section contains several clarity and grammar changes.,157-ARR_v2_29@0===157-ARR_v1_28@0;157-ARR_v2_29@2===157-ARR_v1_28@2;157-ARR_v2_29@3===157-ARR_v1_28@3;157-ARR_v2_30@1===157-ARR_v1_29@0;157-ARR_v2_30@2===157-ARR_v1_29@1;157-ARR_v2_30@3===157-ARR_v1_29@2;157-ARR_v2_30@4===157-ARR_v1_29@3;157-ARR_v2_31@1===157-ARR_v1_31@1;157-ARR_v2_31@2===157-ARR_v1_31@2,9
157-ARR,157-ARR_edit_summary_2@1,A sentence was changed to note that the information was present in figure 2 and another sentence regarding the mapping of the columns to the aspects was added.,157-ARR_v2_29@1===157-ARR_v1_28@1;157-ARR_v2_30@0===nan,2
157-ARR,157-ARR_edit_summary_2@2,A few sentences with details about figure 2 were removed.,nan===157-ARR_v1_30@0;nan===157-ARR_v1_30@1;nan===157-ARR_v1_30@2,3
157-ARR,157-ARR_edit_summary_3@0,The section Intelligent Navigation via Question Generation had a citation added to a sentence.,157-ARR_v2_34@5===157-ARR_v1_34@5,1
157-ARR,157-ARR_edit_summary_3@1,"In Metric-Based Evaluation, information about table 5 was removed.",nan===157-ARR_v1_53@0,1
157-ARR,157-ARR_edit_summary_4@0,"In the conclusion, some small clarity changes were made.",157-ARR_v2_55@2===157-ARR_v1_60@2;157-ARR_v2_55@4===157-ARR_v1_61@0;157-ARR_v2_55@5===157-ARR_v1_61@1,3
157-ARR,157-ARR_edit_summary_4@1,"Besides that, one sentence was modified to remove the claim that contracts are also long and complex.",157-ARR_v2_55@1===157-ARR_v1_60@1,1
157-ARR,157-ARR_edit_summary_4@2,Another claim was changed regarding DYNAMICTOC enabling further exploration in the area.,157-ARR_v2_55@3===157-ARR_v1_60@3,1
157-ARR,157-ARR_edit_summary_4@3,One last sentence was modified to remove the claim that a better understanding of entities consuming the document would help generalization.,157-ARR_v2_55@6===157-ARR_v1_61@2,1
14-ARR,14-ARR_edit_summary_1@0,First change was grammar correction in the Title of the paper.,14-ARR_v2_0@0===14-ARR_v1_0@0,1
14-ARR,14-ARR_edit_summary_2@0,In the Introduction authors corrected the sentence by adding the fact that they re-purposed VHED to rank visual stories.,14-ARR_v2_8@1===14-ARR_v1_9@1,1
14-ARR,14-ARR_edit_summary_2@1,Next fact change was the deletion of the citation.,14-ARR_v2_9@7===14-ARR_v1_10@7,1
14-ARR,14-ARR_edit_summary_2@2,After that one sentence was split into two parts for the clarification.,14-ARR_v2_9@12===14-ARR_v1_10@12;14-ARR_v2_9@13===14-ARR_v1_10@12,2
14-ARR,14-ARR_edit_summary_2@3,One claim change was made regarding the authors' contributions.,14-ARR_v2_9@14===14-ARR_v1_11@0,1
14-ARR,14-ARR_edit_summary_3@0,"In the ""Dataset description"" authors made small clarity abbreviation change (Fig. -> Figure).",14-ARR_v2_16@0===14-ARR_v1_18@0,1
